"var","categoria","A Malena Galmarini","A Julio Zamora"
"P10","A Malena Galmarini por el Frente de Todos",0.739,0.105
"P10","A Julio Zamora por el Frente de Todos",0.092,0.733
"P10","A Segundo Cernadas por Juntos por el Cambio",0.085,0.059
"P10","A Nicolás Massot por Juntos por el Cambio",0.023,0.047
"P10","Al candidato de los liberales libertarios",0.014,0.018
"P10","A Paula Akerfeld por el Frente de Izquierda",0.001,0.018
"P10","No sabe",0.046,0.02
"P12","A Julio Zamora por el Frente de Todos",0.599,0.782
"P12","A Segundo Cernadas por Juntos por el Cambio",0.165,0.088
"P12","Al candidato de los liberales libertarios",0.051,0.034
"P12","A Paula Akerfeld por el Frente de Izquierda",0.011,0.045
"P12","No sabe",0.174,0.051
"P14","A Malena Galmarini por el Frente de Todos",0.785,0.461
"P14","A Segundo Cernadas por Juntos por el Cambio",0.125,0.179
"P14","Al candidato de los liberales libertarios",0.024,0.095
"P14","A Paula Akerfeld por el Frente de Izquierda",0.014,0.054
"P14","No sabe",0.052,0.211
"P16","A Malena Galmarini por el Frente de Todos",0.682,0.297
"P16","A Segundo Cernadas por Juntos por el Cambio",0.151,0.086
"P16","A Nicolás Massot por Juntos por el Cambio",0.053,0.036
"P16","A Julio Zamora por un partido vecinal",0.066,0.458
"P16","Al candidato de los liberales libertarios",0.027,0.064
"P16","A Paula Akerfeld por el Frente de Izquierda",0.004,0.021
"P16","No sabe",0.017,0.038
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.709,0.402
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.105,0.252
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.06
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.044
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.071,0.052
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.022
"P18","En blanco",0.024,0.017
"P18","No sabe",0.028,0.151
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.812,0.408
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.042,0.081
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.014,0.036
"P19","Julio Zamora a intendente por un partido vecinal",0.048,0.277
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.054,0.067
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.021
"P19","En blanco",0.017,0.048
"P19","No sabe",0.012,0.062
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.77,0.502
