"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"A Malena Galmarini por el Frente de Todos",0.238,0.245,0.232,0.274,0.261,0.193,0.164,0.243,0.239,0.23,0.361,0.151,0.194
"A Segundo Cernadas por Juntos por el Cambio",0.232,0.198,0.264,0.145,0.222,0.288,0.353,0.236,0.217,0.256,0.119,0.41,0.241
"A Nicolás Massot por Juntos por el Cambio",0.105,0.093,0.117,0.108,0.083,0.118,0.149,0.097,0.095,0.135,0.065,0.158,0.202
"A Julio Zamora por un partido vecinal",0.132,0.127,0.136,0.079,0.141,0.183,0.131,0.15,0.13,0.11,0.211,0.067,0.171
"Al candidato de los liberales libertarios",0.185,0.254,0.12,0.277,0.181,0.121,0.11,0.184,0.183,0.191,0.121,0.177,0.138
"A Paula Akerfeld por el Frente de Izquierda",0.023,0.011,0.034,0.022,0.028,0.019,0.014,0.004,0.03,0.035,0.025,0.01,0.022
"No sabe",0.085,0.072,0.097,0.095,0.084,0.078,0.079,0.086,0.106,0.043,0.098,0.027,0.032
