"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.284,0.287,0.28,0.367,0.267,0.264,0.205,0.315,0.275,0.259,0.525,0.085,0.359
"Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.148,0.135,0.161,0.101,0.107,0.215,0.265,0.119,0.136,0.213,0.052,0.267,0.236
"Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.169,0.138,0.199,0.049,0.171,0.221,0.318,0.135,0.179,0.196,0.076,0.298,0.021
"Julio Zamora a intendente por un partido vecinal",0.115,0.108,0.121,0.134,0.107,0.123,0.088,0.101,0.132,0.1,0.161,0.09,0.112
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.208,0.308,0.115,0.269,0.259,0.119,0.072,0.286,0.176,0.167,0.121,0.177,0.261
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0.007,0.027,0.04,0.009,0.005,0.024,0,0.028,0.02,0.003,0.015,0.011
"En blanco",0.02,0.005,0.034,0.04,0.011,0.016,0.014,0.003,0.031,0.021,0.021,0.023,0
"No sabe",0.038,0.012,0.063,0,0.069,0.037,0.014,0.041,0.043,0.024,0.041,0.045,0
