"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.814,0.479,0.115,0.258,0.078,0.158,0.187,0.203
"P07","Al candidato de Juntos por el Cambio",0.059,0.269,0.619,0.53,0.105,0.087,0.209,0.119
"P07","Al candidato de los liberales - libertarios",0.033,0.094,0.142,0.078,0.736,0.109,0.034,0.044
"P07","Al candidato de la Izquierda",0.032,0.027,0.036,0.038,0.014,0.292,0.09,0.1
"P07","A otro candidato",0.028,0.044,0.025,0.051,0.043,0.22,0.119,0.226
"P07","No sabe",0.034,0.087,0.063,0.045,0.024,0.134,0.361,0.308
"P08","A Malena Galmarini",0.662,0.166,0.075,0.613,0.313,0.052,0.089,0.318
"P08","A Julio Zamora",0.338,0.834,0.925,0.387,0.687,0.948,0.911,0.682
"P09","A Segundo Cernadas",0.38,0.445,0.503,0.649,0.916,0.845,0.84,0.567
"P09","A Nicolás Massot",0.62,0.555,0.497,0.351,0.084,0.155,0.16,0.433
"P10","A Malena Galmarini por el Frente de Todos",0.529,0.111,0.079,0.125,0.061,0.025,0.084,0.078
"P10","A Julio Zamora por el Frente de Todos",0.324,0.49,0.108,0.161,0.042,0.178,0.272,0.329
"P10","A Segundo Cernadas por Juntos por el Cambio",0.034,0.165,0.372,0.461,0.124,0.071,0.298,0.098
"P10","A Nicolás Massot por Juntos por el Cambio",0.048,0.075,0.273,0.1,0.056,0.066,0,0.112
"P10","Al candidato de los liberales libertarios",0.014,0.059,0.104,0.068,0.658,0.062,0.036,0.023
