"var","categoria","A Malena Galmarini por el Frente de Todos","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","A Nicolás Massot por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.721,0.669,0.116,0.128,0.031,0.063,0.07
"P07","Al candidato de Juntos por el Cambio",0.086,0.113,0.713,0.646,0.027,0.039,0.114
"P07","Al candidato de los liberales - libertarios",0.093,0.052,0.1,0.107,0.782,0.097,0.092
"P07","Al candidato de la Izquierda",0.015,0.036,0.016,0.049,0.016,0.391,0.043
"P07","A otro candidato",0.033,0.036,0.024,0.043,0.125,0.097,0.279
"P07","No sabe",0.052,0.094,0.031,0.027,0.019,0.313,0.402
"P08","A Malena Galmarini",0.89,0.125,0.621,0.358,0.481,0.079,0.72
"P08","A Julio Zamora",0.11,0.875,0.379,0.642,0.519,0.921,0.28
"P09","A Segundo Cernadas",0.716,0.175,0.808,0.068,0.888,0,0.177
"P09","A Nicolás Massot",0.284,0.825,0.192,0.932,0.112,1,0.823
"P12","A Julio Zamora por el Frente de Todos",0.509,0.778,0.072,0.178,0.014,0.134,0.098
"P12","A Segundo Cernadas por Juntos por el Cambio",0.155,0.082,0.757,0.486,0.082,0.091,0.111
"P12","Al candidato de los liberales libertarios",0.145,0.024,0.127,0.098,0.708,0.087,0.047
"P12","A Paula Akerfeld por el Frente de Izquierda",0.033,0.046,0.013,0.07,0.021,0.431,0.022
"P12","No sabe",0.158,0.07,0.031,0.168,0.175,0.257,0.722
"P14","A Malena Galmarini por el Frente de Todos",0.765,0.398,0.105,0.129,0.014,0.078,0.079
"P14","A Segundo Cernadas por Juntos por el Cambio",0.102,0.194,0.768,0.537,0.056,0.086,0.14
"P14","Al candidato de los liberales libertarios",0.079,0.084,0.09,0.123,0.798,0.091,0.096
"P14","A Paula Akerfeld por el Frente de Izquierda",0.018,0.048,0.002,0.051,0.048,0.463,0.006
"P14","No sabe",0.036,0.276,0.035,0.16,0.084,0.282,0.679
"P16","A Malena Galmarini por el Frente de Todos",0.652,0.246,0.115,0.093,0.085,0.137,0.074
"P16","A Segundo Cernadas por Juntos por el Cambio",0.146,0.061,0.714,0.26,0.048,0.09,0.164
"P16","A Nicolás Massot por Juntos por el Cambio",0.08,0.05,0.093,0.439,0.073,0.124,0.052
"P16","A Julio Zamora por un partido vecinal",0.038,0.521,0.009,0.104,0.021,0.064,0.03
"P16","Al candidato de los liberales libertarios",0.058,0.073,0.049,0.066,0.717,0.093,0.18
"P16","A Paula Akerfeld por el Frente de Izquierda",0.007,0.012,0.004,0.003,0.009,0.402,0.001
"P16","No sabe",0.019,0.037,0.016,0.035,0.047,0.09,0.499
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.637,0.355,0.056,0.099,0.012,0.11,0.151
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.091,0.228,0.038,0.071,0.038,0.053,0.032
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.101,0.372,0.581,0.12,0.056,0.109
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.054,0.279,0.083,0.022,0.026,0.089
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.129,0.08,0.194,0.089,0.752,0.026,0.209
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.024,0.004,0.055,0.015,0.416,0.008
"P18","En blanco",0.03,0.031,0.006,0.002,0.003,0.07,0.041
"P18","No sabe",0.023,0.127,0.051,0.02,0.038,0.243,0.361
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.717,0.343,0.053,0.118,0.012,0.168,0.158
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.091,0.093,0.35,0.555,0.105,0.096,0.09
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.021,0.053,0.329,0.149,0.026,0.074,0.112
"P19","Julio Zamora a intendente por un partido vecinal",0.035,0.319,0.072,0.054,0.274,0.029,0.065
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.097,0.066,0.149,0.069,0.546,0.134,0.168
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.016,0,0.04,0.009,0.239,0.031
"P19","En blanco",0.017,0.055,0.015,0.003,0.018,0.033,0.162
"P19","No sabe",0.021,0.055,0.032,0.012,0.01,0.227,0.214
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.7,0.415,0.086,0.128,0.024,0.231,0.1
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.07,0.084,0.567,0.543,0.049,0.162,0.144
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.13,0.141,0.186,0.184,0.742,0.085,0.154
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.036,0.07,0.022,0.03,0.042,0.244,0.035
"P20","En blanco",0.039,0.072,0.065,0.039,0.11,0.041,0.166
"P20","No sabe",0.025,0.218,0.074,0.076,0.033,0.237,0.401
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.74,0.332,0.068,0.122,0.043,0.239,0.1
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.077,0.082,0.584,0.462,0.034,0.06,0.205
"P21","Julio Zamora a intendente por un partido vecinal",0.043,0.354,0.053,0.036,0.12,0.018,0.082
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.088,0.082,0.183,0.188,0.744,0.202,0.169
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.037,0.022,0.018,0.031,0.207,0.063
"P21","En blanco",0.008,0.058,0.025,0.026,0.022,0.199,0.154
"P21","No sabe",0.023,0.055,0.065,0.148,0.006,0.075,0.227
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.749,0.429,0.072,0.097,0.038,0.281,0.149
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.087,0.104,0.651,0.626,0.093,0.08,0.211
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.093,0.171,0.149,0.087,0.715,0.02,0.126
