"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.288,0.287,0.288,0.312,0.315,0.268,0.194,0.331,0.282,0.246,0.513,0.102,0.011
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.295,0.233,0.354,0.17,0.229,0.414,0.527,0.274,0.27,0.368,0.119,0.532,0.353
"Julio Zamora a intendente por un partido vecinal",0.149,0.16,0.139,0.2,0.15,0.13,0.09,0.163,0.154,0.121,0.183,0.128,0.139
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.167,0.247,0.091,0.24,0.184,0.11,0.078,0.167,0.167,0.168,0.095,0.172,0.185
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.031,0.043,0.053,0.036,0.011,0.05,0.023,0.054,0.023,0.027,0.007,0.246
"En blanco",0.029,0.017,0.041,0.012,0.042,0.032,0.019,0.008,0.036,0.043,0.034,0.024,0.066
"No sabe",0.035,0.025,0.044,0.013,0.044,0.035,0.042,0.034,0.037,0.031,0.029,0.035,0
