"var","categoria","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.302,0.288,0.426,0.338,0.362,0.277,0.375,0.661,0.327
"P07","Al candidato de Juntos por el Cambio",0.346,0.29,0.309,0.226,0.249,0.335,0.433,0.15,0.378
"P07","Al candidato de los liberales - libertarios",0.257,0.285,0.146,0.246,0.194,0.23,0.114,0.142,0.131
"P07","Al candidato de la Izquierda",0.025,0.033,0.008,0.146,0.074,0,0,0,0.013
"P07","A otro candidato",0.034,0.01,0.053,0.019,0.025,0.106,0.036,0.019,0.088
"P07","No sabe",0.036,0.094,0.058,0.025,0.096,0.052,0.042,0.028,0.063
"P08","A Malena Galmarini",0.66,0.466,0.622,0.513,0.599,0.424,0.436,0.349,0.462
"P08","A Julio Zamora",0.34,0.534,0.378,0.487,0.401,0.576,0.564,0.651,0.538
"P09","A Segundo Cernadas",0.482,0.464,0.524,0.573,0.824,0.57,0.8,0.3,0.673
"P09","A Nicolás Massot",0.518,0.536,0.476,0.427,0.176,0.43,0.2,0.7,0.327
"P10","A Malena Galmarini por el Frente de Todos",0.16,0.353,0.201,0.175,0.26,0.359,0.199,0.216,0.202
"P10","A Julio Zamora por el Frente de Todos",0.159,0.123,0.326,0.245,0.166,0.128,0.195,0.521,0.247
"P10","A Segundo Cernadas por Juntos por el Cambio",0.237,0.144,0.281,0.191,0.257,0.282,0.199,0.059,0.3
"P10","A Nicolás Massot por Juntos por el Cambio",0.186,0.163,0.105,0.064,0.041,0.09,0.257,0,0.09
"P10","Al candidato de los liberales libertarios",0.225,0.113,0.073,0.165,0.176,0.141,0.15,0.085,0.1
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.026,0,0.104,0.047,0,0,0,0.038
"P10","No sabe",0.033,0.078,0.014,0.056,0.053,0,0,0.119,0.023
"P12","A Julio Zamora por el Frente de Todos",0.245,0.32,0.415,0.281,0.374,0.148,0.352,0.623,0.311
"P12","A Segundo Cernadas por Juntos por el Cambio",0.328,0.27,0.278,0.249,0.301,0.411,0.448,0.059,0.356
"P12","Al candidato de los liberales libertarios",0.251,0.199,0.175,0.164,0.224,0.331,0.177,0.232,0.141
