"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.823,0.097,0.443,0.092,0.12,0.154,0.261
"P07","Al candidato de Juntos por el Cambio",0.085,0.75,0.167,0.173,0.095,0.195,0.407
"P07","Al candidato de los liberales - libertarios",0.013,0.038,0.266,0.671,0.46,0.055,0.018
"P07","Al candidato de la Izquierda",0.01,0.021,0.032,0.019,0.189,0.197,0.052
"P07","A otro candidato",0.031,0.054,0.025,0.026,0.047,0.165,0.087
"P07","No sabe",0.038,0.04,0.067,0.019,0.089,0.234,0.175
"P08","A Malena Galmarini",0.638,0.5,0.178,0.525,0.447,0.175,0.256
"P08","A Julio Zamora",0.362,0.5,0.822,0.475,0.553,0.825,0.744
"P09","A Segundo Cernadas",0.426,0.577,0.551,0.88,0.769,0.232,0.411
"P09","A Nicolás Massot",0.574,0.423,0.449,0.12,0.231,0.768,0.589
"P10","A Malena Galmarini por el Frente de Todos",0.515,0.079,0.124,0.072,0.046,0.105,0.155
"P10","A Julio Zamora por el Frente de Todos",0.309,0.076,0.491,0.07,0.107,0.215,0.254
"P10","A Segundo Cernadas por Juntos por el Cambio",0.074,0.513,0.106,0.169,0.105,0.187,0.168
"P10","A Nicolás Massot por Juntos por el Cambio",0.048,0.257,0.063,0.079,0.102,0.084,0.165
"P10","Al candidato de los liberales libertarios",0.023,0.024,0.173,0.563,0.317,0.01,0.018
"P10","A Paula Akerfeld por el Frente de Izquierda",0.013,0.005,0.031,0.013,0.174,0.248,0.073
"P10","No sabe",0.018,0.046,0.012,0.034,0.149,0.151,0.167
"P12","A Julio Zamora por el Frente de Todos",0.682,0.092,0.504,0.05,0.343,0.189,0.333
"P12","A Segundo Cernadas por Juntos por el Cambio",0.105,0.724,0.138,0.187,0.127,0.195,0.265
"P12","Al candidato de los liberales libertarios",0.057,0.071,0.182,0.612,0.27,0.093,0.089
"P12","A Paula Akerfeld por el Frente de Izquierda",0.041,0.022,0.036,0.009,0.095,0.211,0.052
"P12","No sabe",0.115,0.091,0.14,0.142,0.165,0.312,0.261
"P14","A Malena Galmarini por el Frente de Todos",0.73,0.115,0.214,0.063,0.2,0.118,0.218
"P14","A Segundo Cernadas por Juntos por el Cambio",0.117,0.723,0.197,0.184,0.135,0.217,0.303
"P14","Al candidato de los liberales libertarios",0.034,0.045,0.337,0.679,0.267,0.129,0.036
"P14","A Paula Akerfeld por el Frente de Izquierda",0.026,0.019,0.051,0.014,0.14,0.19,0.052
"P14","No sabe",0.093,0.098,0.201,0.06,0.258,0.346,0.391
"P16","A Malena Galmarini por el Frente de Todos",0.642,0.076,0.182,0.077,0.154,0.161,0.122
"P16","A Segundo Cernadas por Juntos por el Cambio",0.096,0.6,0.115,0.168,0.108,0.152,0.25
