"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.815,0.066,0.463,0.054,0.083,0.157,0.193
"P07","Al candidato de Juntos por el Cambio",0.057,0.788,0.224,0.098,0.098,0.115,0.198
"P07","Al candidato de los liberales - libertarios",0.018,0.067,0.179,0.786,0.392,0.06,0
"P07","Al candidato de la Izquierda",0.03,0.01,0.036,0.03,0.092,0.187,0.286
"P07","A otro candidato",0.037,0.027,0.046,0.02,0.273,0.238,0.008
"P07","No sabe",0.043,0.042,0.052,0.012,0.062,0.243,0.315
"P08","A Malena Galmarini",0.736,0.423,0.084,0.556,0,0.05,0.472
"P08","A Julio Zamora",0.264,0.577,0.916,0.444,1,0.95,0.528
"P09","A Segundo Cernadas",0.434,0.615,0.542,0.789,0.077,0.448,0.191
"P09","A Nicolás Massot",0.566,0.385,0.458,0.211,0.923,0.552,0.809
"P10","A Malena Galmarini por el Frente de Todos",0.618,0.077,0.057,0.097,0.047,0,0
"P10","A Julio Zamora por el Frente de Todos",0.238,0.042,0.622,0.059,0.179,0.294,0.19
"P10","A Segundo Cernadas por Juntos por el Cambio",0.036,0.547,0.161,0.145,0,0.18,0.235
"P10","A Nicolás Massot por Juntos por el Cambio",0.067,0.259,0.039,0.055,0.097,0.142,0.09
"P10","Al candidato de los liberales libertarios",0.005,0.038,0.097,0.587,0.41,0.045,0.007
"P10","A Paula Akerfeld por el Frente de Izquierda",0.015,0.004,0.011,0.004,0.08,0.211,0.354
"P10","No sabe",0.021,0.033,0.013,0.053,0.187,0.128,0.124
"P12","A Julio Zamora por el Frente de Todos",0.709,0.058,0.538,0.071,0.118,0.27,0.118
"P12","A Segundo Cernadas por Juntos por el Cambio",0.091,0.803,0.103,0.118,0.031,0.22,0.273
"P12","Al candidato de los liberales libertarios",0.058,0.059,0.262,0.665,0.365,0.027,0.037
"P12","A Paula Akerfeld por el Frente de Izquierda",0.045,0.012,0.045,0.006,0.034,0.113,0.286
"P12","No sabe",0.097,0.068,0.052,0.14,0.452,0.37,0.286
"P14","A Malena Galmarini por el Frente de Todos",0.755,0.069,0.129,0.063,0.162,0.145,0
"P14","A Segundo Cernadas por Juntos por el Cambio",0.115,0.789,0.221,0.136,0,0.285,0.306
"P14","Al candidato de los liberales libertarios",0.025,0.051,0.352,0.746,0.47,0.053,0.037
"P14","A Paula Akerfeld por el Frente de Izquierda",0.025,0.021,0.071,0.019,0.06,0.074,0.286
"P14","No sabe",0.08,0.07,0.227,0.036,0.308,0.443,0.371
"P16","A Malena Galmarini por el Frente de Todos",0.655,0.076,0.155,0.063,0.128,0.113,0.034
"P16","A Segundo Cernadas por Juntos por el Cambio",0.071,0.67,0.105,0.118,0.026,0.196,0.25
"P16","A Nicolás Massot por Juntos por el Cambio",0.075,0.201,0.088,0.091,0.062,0.097,0.086
"P16","A Julio Zamora por un partido vecinal",0.118,0.006,0.461,0.018,0.071,0.141,0.118
"P16","Al candidato de los liberales libertarios",0.018,0.031,0.169,0.652,0.458,0.26,0.037
"P16","A Paula Akerfeld por el Frente de Izquierda",0.007,0.005,0.008,0.011,0.123,0.074,0.286
"P16","No sabe",0.056,0.011,0.014,0.047,0.132,0.119,0.189
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.72,0.032,0.192,0,0.019,0.186,0
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.14,0.016,0.254,0.054,0.137,0.008,0.071
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.045,0.604,0.127,0.147,0.182,0.272,0.326
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.01,0.249,0.094,0.047,0.065,0.051,0.122
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.059,0.253,0.735,0.461,0.085,0
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.002,0.014,0.011,0.092,0.113,0
"P18","En blanco",0.011,0.009,0.024,0.003,0.023,0.158,0
"P18","No sabe",0.053,0.029,0.042,0.003,0.021,0.127,0.481
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.8,0.024,0.123,0.027,0.019,0,0
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.084,0.561,0.076,0.109,0.065,0.248,0.251
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.002,0.302,0.073,0.033,0.148,0.075,0.134
