"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.292,0.307,0.277,0.346,0.3,0.284,0.213,0.346,0.281,0.252,0.532,0.096,0.23
"Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.284,0.201,0.362,0.098,0.228,0.36,0.546,0.212,0.287,0.353,0.094,0.523,0.138
"Julio Zamora a intendente por un partido vecinal",0.134,0.135,0.133,0.155,0.146,0.141,0.068,0.133,0.151,0.108,0.17,0.117,0.195
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.165,0.258,0.076,0.284,0.177,0.105,0.077,0.173,0.153,0.175,0.083,0.151,0.226
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.048,0.057,0.04,0.07,0.049,0.033,0.044,0.074,0.04,0.035,0.043,0.038,0.139
"En blanco",0.038,0.023,0.053,0.047,0.039,0.045,0.016,0.018,0.041,0.054,0.041,0.03,0.072
"No sabe",0.039,0.019,0.059,0,0.061,0.032,0.036,0.044,0.047,0.023,0.037,0.045,0
