"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P10","A Malena Galmarini por el Frente de Todos",0.436,0.064,0.088,0.069,0.072,0.087
"P10","A Julio Zamora por el Frente de Todos",0.399,0.084,0.049,0.161,0.076,0.156
"P10","A Segundo Cernadas por Juntos por el Cambio",0.071,0.541,0.096,0.074,0.052,0.053
"P10","A Nicolás Massot por Juntos por el Cambio",0.035,0.219,0.046,0.101,0.042,0.02
"P10","Al candidato de los liberales libertarios",0.016,0.017,0.631,0.061,0.228,0.027
"P10","A Paula Akerfeld por el Frente de Izquierda",0.008,0.006,0.02,0.378,0.044,0.112
"P10","No sabe",0.035,0.069,0.07,0.156,0.486,0.545
"P12","A Julio Zamora por el Frente de Todos",0.687,0.095,0.063,0.189,0.114,0.241
"P12","A Segundo Cernadas por Juntos por el Cambio",0.129,0.69,0.109,0.023,0.158,0.131
"P12","Al candidato de los liberales libertarios",0.043,0.09,0.68,0.093,0.144,0.031
"P12","A Paula Akerfeld por el Frente de Izquierda",0.026,0.017,0.021,0.488,0.053,0.043
"P12","No sabe",0.115,0.108,0.127,0.207,0.531,0.554
"P14","A Malena Galmarini por el Frente de Todos",0.625,0.116,0.065,0.181,0.129,0.135
"P14","A Segundo Cernadas por Juntos por el Cambio",0.151,0.71,0.089,0.082,0.159,0.19
"P14","Al candidato de los liberales libertarios",0.06,0.084,0.75,0.086,0.169,0.03
"P14","A Paula Akerfeld por el Frente de Izquierda",0.037,0.005,0.027,0.405,0.078,0.024
"P14","No sabe",0.127,0.085,0.069,0.246,0.465,0.621
"P16","A Malena Galmarini por el Frente de Todos",0.5,0.088,0.112,0.144,0.161,0.145
"P16","A Segundo Cernadas por Juntos por el Cambio",0.118,0.581,0.075,0.056,0.131,0.159
"P16","A Nicolás Massot por Juntos por el Cambio",0.043,0.205,0.104,0.164,0.081,0.04
"P16","A Julio Zamora por un partido vecinal",0.258,0.049,0.025,0.105,0.091,0.203
"P16","Al candidato de los liberales libertarios",0.043,0.04,0.63,0.079,0.234,0.132
"P16","A Paula Akerfeld por el Frente de Izquierda",0.011,0.001,0.009,0.345,0.023,0.002
"P16","No sabe",0.027,0.036,0.045,0.107,0.279,0.319
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.557,0.079,0.019,0.135,0.137,0.176
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.178,0.035,0.024,0.012,0.13,0.075
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.051,0.479,0.108,0.16,0.114,0.153
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.03,0.245,0.034,0.026,0.065,0.053
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.062,0.119,0.772,0.05,0.265,0.104
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.012,0.014,0.435,0.021,0.011
"P18","En blanco",0.023,0.008,0.003,0.044,0.044,0.064
"P18","No sabe",0.084,0.023,0.026,0.138,0.224,0.364
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.609,0.071,0.014,0.164,0.138,0.184
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.061,0.448,0.084,0.153,0.12,0.196
