"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.279,0.26,0.298,0.231,0.289,0.306,0.268,0.291,0.243,0.326,0.358,0.251,0.104
"Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.307,0.268,0.344,0.253,0.242,0.352,0.481,0.251,0.337,0.315,0.27,0.404,0.128
"Julio Zamora a intendente por un partido vecinal",0.145,0.157,0.132,0.147,0.175,0.131,0.078,0.173,0.15,0.107,0.159,0.139,0.378
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.147,0.226,0.071,0.196,0.178,0.107,0.065,0.162,0.123,0.172,0.076,0.125,0.089
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.036,0.047,0.026,0.058,0.047,0.013,0.017,0.049,0.038,0.019,0.044,0.007,0.258
"En blanco",0.046,0.027,0.065,0.093,0.033,0.047,0.026,0.018,0.066,0.042,0.059,0.031,0.043
"No sabe",0.04,0.015,0.064,0.022,0.036,0.044,0.065,0.056,0.043,0.019,0.034,0.043,0
