"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.317,0.299,0.334,0.342,0.348,0.298,0.21,0.369,0.316,0.255,0.569,0.111,0.139
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.292,0.242,0.34,0.152,0.223,0.416,0.544,0.228,0.282,0.39,0.121,0.547,0.334
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.21,0.287,0.136,0.322,0.226,0.137,0.085,0.224,0.201,0.208,0.146,0.195,0.24
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.046,0.066,0.027,0.064,0.055,0.016,0.038,0.066,0.041,0.03,0.03,0.055,0.08
"En blanco",0.053,0.051,0.055,0.044,0.072,0.043,0.028,0.054,0.059,0.043,0.032,0.036,0.152
"No sabe",0.082,0.055,0.108,0.076,0.076,0.09,0.095,0.059,0.101,0.074,0.102,0.056,0.055
