"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.27,0.291,0.249,0.339,0.258,0.244,0.224,0.276,0.282,0.24,0.494,0.093,0.347
"Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.263,0.218,0.308,0.139,0.202,0.354,0.524,0.208,0.262,0.336,0.068,0.508,0.042
"Julio Zamora a intendente por un partido vecinal",0.176,0.17,0.182,0.235,0.188,0.155,0.072,0.21,0.161,0.162,0.235,0.115,0.149
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.172,0.228,0.119,0.181,0.214,0.138,0.085,0.17,0.17,0.18,0.091,0.186,0.168
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.043,0.055,0.031,0.069,0.04,0.029,0.03,0.063,0.035,0.032,0.039,0.033,0.153
"En blanco",0.039,0.028,0.049,0.037,0.041,0.041,0.032,0.038,0.043,0.031,0.031,0.029,0.13
"No sabe",0.037,0.01,0.062,0,0.057,0.039,0.033,0.035,0.047,0.019,0.042,0.036,0.011
