"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.284,0.28,0.288,0.326,0.283,0.298,0.216,0.274,0.307,0.255,0.527,0.111,0.093
"Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.273,0.209,0.336,0.107,0.228,0.338,0.495,0.196,0.273,0.353,0.086,0.502,0.114
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.236,0.298,0.175,0.319,0.259,0.184,0.154,0.265,0.235,0.208,0.157,0.253,0.534
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.038,0.027,0.027,0.045,0.017,0.029,0.03,0.035,0.031,0.047,0.011,0.08
"En blanco",0.078,0.106,0.051,0.133,0.074,0.066,0.043,0.115,0.057,0.076,0.061,0.073,0.179
"No sabe",0.096,0.069,0.123,0.088,0.111,0.097,0.063,0.12,0.093,0.077,0.122,0.05,0
