"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.253,0.272,0.235,0.332,0.231,0.253,0.183,0.273,0.238,0.257,0.461,0.084,0.324
"Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.13,0.121,0.139,0.11,0.144,0.15,0.092,0.13,0.157,0.08,0.158,0.13,0.072
"Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.16,0.118,0.201,0.107,0.112,0.221,0.308,0.085,0.165,0.246,0.05,0.291,0.187
"Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.17,0.153,0.187,0.076,0.187,0.179,0.273,0.187,0.16,0.169,0.119,0.246,0.032
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.203,0.296,0.114,0.292,0.234,0.121,0.081,0.291,0.167,0.16,0.133,0.177,0.262
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.017,0.026,0.038,0.02,0.009,0.015,0.003,0.031,0.027,0.009,0.014,0.012
"En blanco",0.022,0.007,0.037,0.045,0.016,0.015,0.009,0,0.033,0.029,0.024,0.021,0.111
"No sabe",0.04,0.016,0.061,0,0.056,0.052,0.039,0.031,0.049,0.032,0.046,0.037,0
