"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"A Segundo Cernadas",0.52,0.5,0.539,0.278,0.591,0.607,0.579,0.518,0.513,0.533,0.351,0.584,0.618
"A Nicolás Massot",0.48,0.5,0.461,0.722,0.409,0.393,0.421,0.482,0.487,0.467,0.649,0.416,0.382
