"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.767,0.121,0.16,0.337,0.108,0.341
"P07","Al candidato de Juntos por el Cambio",0.081,0.761,0.165,0.284,0.258,0.179
"P07","Al candidato de los liberales - libertarios",0.015,0.052,0.611,0.163,0.421,0.083
"P07","Al candidato de la Izquierda",0.044,0,0.011,0.178,0.014,0.137
"P07","A otro candidato",0.049,0.041,0.018,0,0.082,0.102
"P07","No sabe",0.044,0.025,0.035,0.038,0.117,0.158
"P08","A Malena Galmarini",0.597,0.336,0.403,0.338,0.257,0.203
"P08","A Julio Zamora",0.403,0.664,0.597,0.662,0.743,0.797
"P09","A Segundo Cernadas",0.415,0.565,0.752,0.414,0.783,0.357
"P09","A Nicolás Massot",0.585,0.435,0.248,0.586,0.217,0.643
"P10","A Malena Galmarini por el Frente de Todos",0.453,0.071,0.11,0.046,0.108,0.113
"P10","A Julio Zamora por el Frente de Todos",0.334,0.073,0.121,0.412,0.16,0.336
"P10","A Segundo Cernadas por Juntos por el Cambio",0.061,0.491,0.152,0.121,0.19,0.202
"P10","A Nicolás Massot por Juntos por el Cambio",0.063,0.271,0.058,0.078,0.095,0.061
"P10","Al candidato de los liberales libertarios",0.027,0.027,0.522,0.066,0.349,0.04
"P10","A Paula Akerfeld por el Frente de Izquierda",0.039,0.001,0.014,0.182,0.023,0.127
"P10","No sabe",0.023,0.066,0.023,0.095,0.075,0.121
"P12","A Julio Zamora por el Frente de Todos",0.698,0.104,0.126,0.387,0.148,0.339
"P12","A Segundo Cernadas por Juntos por el Cambio",0.106,0.693,0.193,0.124,0.213,0.232
"P12","Al candidato de los liberales libertarios",0.047,0.066,0.542,0.164,0.339,0.127
"P12","A Paula Akerfeld por el Frente de Izquierda",0.051,0.02,0.013,0.117,0.011,0.097
"P12","No sabe",0.098,0.117,0.126,0.208,0.289,0.205
"P14","A Malena Galmarini por el Frente de Todos",0.691,0.084,0.128,0.201,0.121,0.145
"P14","A Segundo Cernadas por Juntos por el Cambio",0.099,0.713,0.193,0.2,0.199,0.266
"P14","Al candidato de los liberales libertarios",0.061,0.07,0.612,0.296,0.399,0.093
"P14","A Paula Akerfeld por el Frente de Izquierda",0.056,0.006,0.007,0.135,0.055,0.095
"P14","No sabe",0.093,0.127,0.06,0.168,0.226,0.401
"P16","A Malena Galmarini por el Frente de Todos",0.589,0.052,0.147,0.112,0.154,0.153
"P16","A Segundo Cernadas por Juntos por el Cambio",0.1,0.59,0.155,0.168,0.14,0.188
"P16","A Nicolás Massot por Juntos por el Cambio",0.074,0.201,0.085,0.109,0.085,0.086
"P16","A Julio Zamora por un partido vecinal",0.143,0.071,0.068,0.301,0.132,0.221
"P16","Al candidato de los liberales libertarios",0.033,0.051,0.513,0.131,0.349,0.158
"P16","A Paula Akerfeld por el Frente de Izquierda",0.02,0,0.004,0.084,0.045,0.091
"P16","No sabe",0.041,0.035,0.028,0.095,0.095,0.103
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.667,0.043,0.08,0.046,0.036,0.207
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.126,0.027,0.069,0.228,0.099,0.159
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.028,0.57,0.2,0.225,0.139,0.227
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.031,0.281,0.051,0.108,0.006,0.029
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.039,0.578,0.145,0.624,0.092
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.002,0.004,0.216,0.028,0.015
"P18","En blanco",0.011,0.012,0.003,0,0.055,0.023
"P18","No sabe",0.064,0.026,0.015,0.032,0.013,0.248
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.719,0.039,0.086,0.072,0.031,0.094
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.046,0.525,0.163,0.173,0.137,0.199
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.034,0.317,0.071,0.076,0.078,0.041
"P19","Julio Zamora a intendente por un partido vecinal",0.087,0.059,0.209,0.431,0.112,0.31
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.031,0.451,0.147,0.561,0.058
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.007,0.003,0.069,0.016,0.025
"P19","En blanco",0.018,0.01,0.014,0.007,0.058,0.086
"P19","No sabe",0.029,0.012,0.003,0.025,0.007,0.187
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.717,0.053,0.071,0.086,0.065,0.167
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.065,0.79,0.059,0.269,0.056,0.079
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.061,0.062,0.689,0.253,0.386,0.126
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.071,0.01,0.046,0.3,0.032,0.025
"P20","En blanco",0.047,0.019,0.088,0.076,0.387,0.057
"P20","No sabe",0.039,0.066,0.047,0.016,0.074,0.546
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.769,0.01,0.073,0.037,0.033,0.116
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.801,0.072,0.106,0.054,0.062
"P21","Julio Zamora a intendente por un partido vecinal",0.101,0.057,0.128,0.293,0.302,0.205
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0.024,0.674,0.292,0.326,0.12
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.01,0.012,0.272,0.161,0.058
"P21","En blanco",0.009,0.015,0.023,0,0.09,0.195
"P21","No sabe",0.024,0.083,0.018,0,0.034,0.244
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.808,0.044,0.061,0.072,0.03,0.169
