"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Los robos",0.32,0.328,0.311,0.509,0.271,0.284,0.289,0.314,0.314,0.334,0.298,0.329,0.335
"El narcotráfico",0.277,0.269,0.285,0.175,0.291,0.331,0.277,0.272,0.258,0.314,0.299,0.284,0.498
"La ausencia de patrulleros y personal policial",0.13,0.154,0.106,0.062,0.154,0.138,0.126,0.172,0.111,0.116,0.159,0.122,0.078
"Otro",0.151,0.138,0.164,0.073,0.193,0.118,0.177,0.138,0.163,0.146,0.14,0.163,0
"Ninguno",0.122,0.111,0.134,0.181,0.091,0.129,0.131,0.104,0.154,0.09,0.104,0.102,0.089
