"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.112,0.183,0.337,0.435
"P23","Julio Zamora a intendente por un partido vecinal",0.315,0.193,0.111,0.073
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.053,0.092,0.279
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.062,0.017,0.028,0.03
"P23","En blanco",0.041,0.056,0.116,0.021
"P23","No sabe",0.03,0.033,0.032,0.041
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.394,0.506,0.279,0.124
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.309,0.096,0.089,0.056
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.122,0.143,0.231,0.337
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.078,0.108,0.143,0.154
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.046,0.083,0.126,0.278
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.047,0.006,0.07,0.015
"P24","En blanco",0,0,0.02,0.018
"P24","No sabe",0.004,0.058,0.042,0.018
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.379,0.493,0.307,0.126
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.125,0.125,0.209,0.303
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.058,0.124,0.158,0.18
"P25","Julio Zamora a intendente por un partido vecinal",0.312,0.133,0.052,0.017
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.064,0.086,0.152,0.321
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0,0.063,0.014
"P25","En blanco",0.005,0.002,0.026,0.016
"P25","No sabe",0.023,0.037,0.033,0.023
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.475,0.495,0.325,0.152
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.064,0.181,0.286,0.325
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.132,0.17,0.18,0.322
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.095,0.041,0.025,0.044
"P26","En blanco",0.108,0.04,0.064,0.082
"P26","No sabe",0.126,0.073,0.12,0.075
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.403,0.431,0.28,0.143
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.112,0.147,0.305,0.327
"P27","Julio Zamora a intendente por un partido vecinal",0.308,0.228,0.141,0.084
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.059,0.101,0.111,0.324
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.034,0.036,0.032
"P27","En blanco",0.05,0.015,0.075,0.055
"P27","No sabe",0.036,0.044,0.052,0.035
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.465,0.545,0.313,0.142
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.143,0.195,0.326,0.437
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.156,0.085,0.211,0.29
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.037,0.025,0.053
"P28","En blanco",0.059,0.055,0.007,0.045
"P28","No sabe",0.143,0.083,0.118,0.033
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.426,0.481,0.325,0.124
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.139,0.168,0.31,0.433
"P29","Julio Zamora a intendente por un partido vecinal",0.368,0.169,0.163,0.079
