"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.806,0.097,0.134,0.178,0.172,0.378
"P07","Al candidato de Juntos por el Cambio",0.079,0.697,0.16,0.07,0.185,0.177
"P07","Al candidato de los liberales - libertarios",0.016,0.081,0.647,0.551,0.225,0.068
"P07","Al candidato de la Izquierda",0.026,0.04,0.005,0.104,0.106,0.128
"P07","A otro candidato",0.032,0.034,0.023,0.05,0.202,0.108
"P07","No sabe",0.041,0.051,0.031,0.047,0.11,0.141
"P08","A Malena Galmarini",0.606,0.321,0.299,0.619,0.225,0.087
"P08","A Julio Zamora",0.394,0.679,0.701,0.381,0.775,0.913
"P09","A Segundo Cernadas",0.396,0.565,0.755,0.942,0.785,0.404
"P09","A Nicolás Massot",0.604,0.435,0.245,0.058,0.215,0.596
"P10","A Malena Galmarini por el Frente de Todos",0.477,0.05,0.091,0.065,0.144,0.082
"P10","A Julio Zamora por el Frente de Todos",0.331,0.106,0.147,0.14,0.162,0.439
"P10","A Segundo Cernadas por Juntos por el Cambio",0.072,0.468,0.135,0.089,0.167,0.133
"P10","A Nicolás Massot por Juntos por el Cambio",0.056,0.261,0.026,0.1,0.129,0.037
"P10","Al candidato de los liberales libertarios",0.028,0.051,0.547,0.395,0.18,0.021
"P10","A Paula Akerfeld por el Frente de Izquierda",0.011,0.009,0.025,0.053,0.147,0.217
"P10","No sabe",0.025,0.055,0.029,0.158,0.071,0.071
"P12","A Julio Zamora por el Frente de Todos",0.657,0.128,0.102,0.247,0.392,0.447
"P12","A Segundo Cernadas por Juntos por el Cambio",0.13,0.668,0.126,0.125,0.153,0.13
"P12","Al candidato de los liberales libertarios",0.056,0.096,0.59,0.346,0.24,0.061
"P12","A Paula Akerfeld por el Frente de Izquierda",0.048,0.015,0,0.071,0.041,0.188
"P12","No sabe",0.109,0.093,0.182,0.211,0.174,0.174
"P14","A Malena Galmarini por el Frente de Todos",0.711,0.079,0.071,0.105,0.17,0.138
"P14","A Segundo Cernadas por Juntos por el Cambio",0.11,0.686,0.113,0.176,0.265,0.231
"P14","Al candidato de los liberales libertarios",0.039,0.102,0.736,0.415,0.24,0.033
"P14","A Paula Akerfeld por el Frente de Izquierda",0.048,0.008,0.011,0.078,0.079,0.187
"P14","No sabe",0.092,0.125,0.069,0.226,0.246,0.411
"P16","A Malena Galmarini por el Frente de Todos",0.591,0.065,0.1,0.188,0.168,0.116
"P16","A Segundo Cernadas por Juntos por el Cambio",0.107,0.529,0.114,0.097,0.265,0.138
"P16","A Nicolás Massot por Juntos por el Cambio",0.039,0.243,0.116,0.012,0.095,0.021
"P16","A Julio Zamora por un partido vecinal",0.169,0.071,0.072,0.103,0.143,0.28
"P16","Al candidato de los liberales libertarios",0.035,0.055,0.544,0.433,0.226,0.171
"P16","A Paula Akerfeld por el Frente de Izquierda",0.007,0.002,0.016,0.067,0.035,0.172
"P16","No sabe",0.052,0.035,0.038,0.1,0.068,0.102
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.67,0.028,0.054,0.011,0.073,0.238
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.139,0.026,0.068,0.144,0.212,0.176
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.668,0.092,0.174,0.051,0.07
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.026,0.207,0.014,0.109,0.107,0.115
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.036,0.031,0.737,0.466,0.286,0.046
