"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.25,0.254,0.245,0.275,0.268,0.23,0.181,0.274,0.238,0.24,0.466,0.08,0.235
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.214,0.171,0.256,0.146,0.145,0.318,0.378,0.179,0.197,0.292,0.084,0.395,0.067
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.138,0.123,0.153,0.106,0.128,0.141,0.217,0.115,0.15,0.145,0.096,0.208,0.226
"Julio Zamora a intendente por un partido vecinal",0.102,0.077,0.127,0.109,0.106,0.121,0.053,0.11,0.115,0.069,0.148,0.062,0.12
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.213,0.318,0.11,0.307,0.246,0.122,0.095,0.261,0.2,0.177,0.137,0.198,0.33
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.017,0.033,0.046,0.023,0.012,0.017,0.006,0.031,0.039,0.018,0.01,0.011
"En blanco",0.012,0.006,0.019,0,0.018,0.017,0.007,0.004,0.019,0.008,0.004,0.013,0
"No sabe",0.046,0.034,0.057,0.011,0.066,0.039,0.052,0.051,0.05,0.03,0.047,0.034,0.011
