"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.72,0.167,0.089,0.251,0.207
"P07","Al candidato de Juntos por el Cambio",0.109,0.638,0.102,0.026,0.112
"P07","Al candidato de los liberales - libertarios",0.047,0.062,0.706,0.117,0.071
"P07","Al candidato de la Izquierda",0.03,0.013,0.018,0.399,0.057
"P07","A otro candidato",0.041,0.049,0.07,0.15,0.211
"P07","No sabe",0.053,0.071,0.015,0.057,0.342
"P08","A Malena Galmarini",0.646,0.429,0.213,0.222,0.209
"P08","A Julio Zamora",0.354,0.571,0.787,0.778,0.791
"P09","A Segundo Cernadas",0.513,0.62,0.535,0.103,0.243
"P09","A Nicolás Massot",0.487,0.38,0.465,0.897,0.757
"P10","A Malena Galmarini por el Frente de Todos",0.547,0.07,0.073,0.078,0.036
"P10","A Julio Zamora por el Frente de Todos",0.279,0.131,0.076,0.2,0.273
"P10","A Segundo Cernadas por Juntos por el Cambio",0.075,0.528,0.084,0.008,0.035
"P10","A Nicolás Massot por Juntos por el Cambio",0.041,0.161,0.05,0.095,0.071
"P10","Al candidato de los liberales libertarios",0.009,0.034,0.64,0.179,0.073
"P10","A Paula Akerfeld por el Frente de Izquierda",0.012,0.013,0.018,0.423,0.061
"P10","No sabe",0.037,0.063,0.059,0.017,0.451
"P12","A Julio Zamora por el Frente de Todos",0.634,0.186,0.069,0.148,0.264
"P12","A Segundo Cernadas por Juntos por el Cambio",0.165,0.715,0.033,0.165,0.038
"P12","Al candidato de los liberales libertarios",0.048,0.036,0.778,0.076,0.03
"P12","A Paula Akerfeld por el Frente de Izquierda",0.023,0.015,0.007,0.55,0.049
"P12","No sabe",0.13,0.048,0.113,0.061,0.619
"P16","A Malena Galmarini por el Frente de Todos",0.618,0.119,0.096,0.082,0.055
"P16","A Segundo Cernadas por Juntos por el Cambio",0.137,0.607,0.033,0.053,0.065
"P16","A Nicolás Massot por Juntos por el Cambio",0.072,0.157,0.142,0.074,0.037
"P16","A Julio Zamora por un partido vecinal",0.123,0.098,0.063,0.285,0.24
"P16","Al candidato de los liberales libertarios",0.002,0.008,0.657,0.073,0.214
"P16","A Paula Akerfeld por el Frente de Izquierda",0.01,0.001,0.002,0.384,0.013
"P16","No sabe",0.038,0.01,0.007,0.049,0.376
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.63,0.083,0.04,0.075,0.157
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.118,0.09,0.03,0.117,0.113
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.065,0.417,0.137,0.118,0.133
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.225,0.023,0,0.091
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.06,0.127,0.723,0.122,0.117
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.003,0.023,0.337,0.034
"P18","En blanco",0.022,0.004,0.007,0.011,0.068
"P18","No sabe",0.059,0.051,0.017,0.22,0.287
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.671,0.076,0.034,0.184,0.167
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.077,0.418,0.119,0.093,0.112
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.041,0.262,0.035,0.019,0.11
"P19","Julio Zamora a intendente por un partido vecinal",0.075,0.102,0.267,0.113,0.184
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.061,0.092,0.525,0.167,0.105
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.002,0.011,0.218,0.036
"P19","En blanco",0.035,0.013,0.007,0.067,0.117
"P19","No sabe",0.032,0.035,0.002,0.139,0.169
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.719,0.109,0.022,0.212,0.147
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.08,0.578,0.08,0.036,0.126
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.078,0.156,0.717,0.07,0.149
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.025,0.035,0.338,0.069
"P20","En blanco",0.041,0.029,0.11,0.115,0.151
"P20","No sabe",0.059,0.103,0.036,0.229,0.358
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.705,0.085,0.02,0.202,0.17
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.065,0.582,0.066,0.053,0.124
"P21","Julio Zamora a intendente por un partido vecinal",0.099,0.074,0.143,0.177,0.219
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.046,0.147,0.7,0.143,0.117
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.011,0.033,0.258,0.038
"P21","En blanco",0.012,0.037,0.017,0.131,0.141
"P21","No sabe",0.043,0.064,0.021,0.036,0.191
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.737,0.085,0.033,0.257,0.226
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.073,0.679,0.123,0.061,0.174
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.068,0.103,0.681,0.061,0.11
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.023,0.116,0.273,0.074
"P22","En blanco",0.014,0.024,0.023,0.115,0.094
"P22","No sabe",0.076,0.086,0.024,0.233,0.322
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.709,0.07,0.06,0.262,0.163
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.07,0.652,0.13,0.05,0.182
