"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.793,0.089,0.403,0.078,0.05,0.383,0.201
"P07","Al candidato de Juntos por el Cambio",0.064,0.784,0.175,0.138,0.157,0.233,0.119
"P07","Al candidato de los liberales - libertarios",0.02,0.055,0.255,0.728,0.411,0.09,0.174
"P07","Al candidato de la Izquierda",0.031,0.003,0.041,0.018,0.121,0.148,0.199
"P07","A otro candidato",0.047,0.027,0.058,0.021,0.166,0.095,0.07
"P07","No sabe",0.045,0.042,0.068,0.017,0.095,0.051,0.237
"P08","A Malena Galmarini",0.712,0.482,0.108,0.358,0,0.212,0.264
"P08","A Julio Zamora",0.288,0.518,0.892,0.642,1,0.788,0.736
"P09","A Segundo Cernadas",0.248,0.57,0.424,0.909,0.373,0.643,0.423
"P09","A Nicolás Massot",0.752,0.43,0.576,0.091,0.627,0.357,0.577
"P10","A Malena Galmarini por el Frente de Todos",0.596,0.081,0.048,0.066,0.1,0.069,0.013
"P10","A Julio Zamora por el Frente de Todos",0.223,0.062,0.63,0.045,0.141,0.298,0.161
"P10","A Segundo Cernadas por Juntos por el Cambio",0.03,0.507,0.109,0.146,0.071,0.221,0.38
"P10","A Nicolás Massot por Juntos por el Cambio",0.098,0.266,0.027,0.086,0,0.117,0.013
"P10","Al candidato de los liberales libertarios",0.017,0.061,0.125,0.605,0.347,0.041,0.123
"P10","A Paula Akerfeld por el Frente de Izquierda",0.012,0,0.018,0,0.226,0.178,0.225
"P10","No sabe",0.024,0.023,0.043,0.052,0.115,0.076,0.085
"P12","A Julio Zamora por el Frente de Todos",0.685,0.059,0.521,0.084,0.088,0.481,0.044
"P12","A Segundo Cernadas por Juntos por el Cambio",0.1,0.762,0.119,0.146,0.093,0.294,0.327
"P12","Al candidato de los liberales libertarios",0.048,0.086,0.232,0.621,0.447,0,0.195
"P12","A Paula Akerfeld por el Frente de Izquierda",0.043,0.016,0.03,0.002,0.059,0.062,0.199
"P12","No sabe",0.124,0.077,0.098,0.147,0.313,0.163,0.235
"P14","A Malena Galmarini por el Frente de Todos",0.753,0.072,0.181,0.067,0.072,0.117,0.032
"P14","A Segundo Cernadas por Juntos por el Cambio",0.124,0.752,0.166,0.159,0.085,0.381,0.342
"P14","Al candidato de los liberales libertarios",0.043,0.067,0.389,0.693,0.608,0,0.141
"P14","A Paula Akerfeld por el Frente de Izquierda",0.022,0.032,0.053,0.007,0.084,0.052,0.186
"P14","No sabe",0.058,0.077,0.211,0.074,0.151,0.45,0.299
"P16","A Malena Galmarini por el Frente de Todos",0.674,0.074,0.157,0.051,0.162,0.172,0.032
"P16","A Segundo Cernadas por Juntos por el Cambio",0.068,0.585,0.103,0.16,0.072,0.28,0.402
"P16","A Nicolás Massot por Juntos por el Cambio",0.081,0.248,0.075,0.062,0.226,0,0.141
"P16","A Julio Zamora por un partido vecinal",0.094,0.032,0.425,0.046,0.048,0.184,0
"P16","Al candidato de los liberales libertarios",0.024,0.046,0.226,0.62,0.281,0.245,0.133
"P16","A Paula Akerfeld por el Frente de Izquierda",0.006,0.006,0.004,0.007,0.122,0.053,0.186
"P16","No sabe",0.053,0.009,0.01,0.054,0.089,0.066,0.106
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.736,0.021,0.193,0.007,0.014,0.225,0.075
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.131,0.023,0.243,0.038,0.055,0.058,0.284
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.67,0.177,0.052,0.138,0.228,0.176
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.007,0.213,0.093,0.042,0.025,0.138,0.162
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.047,0.222,0.831,0.493,0.059,0
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.002,0.019,0.007,0.233,0.107,0
"P18","En blanco",0.01,0.005,0.015,0.002,0.023,0.098,0.013
"P18","No sabe",0.061,0.019,0.038,0.021,0.019,0.087,0.29
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.796,0.033,0.159,0.027,0,0.064,0.005
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.075,0.614,0.092,0.036,0.207,0.109,0.171
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.003,0.282,0.081,0.026,0.103,0.193,0.217
"P19","Julio Zamora a intendente por un partido vecinal",0.037,0.041,0.431,0.268,0.069,0.301,0.208
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.012,0.207,0.639,0.539,0.033,0
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0,0.013,0.002,0.068,0.16,0.07
"P19","En blanco",0.015,0.011,0.017,0,0.014,0.074,0.018
"P19","No sabe",0.049,0.007,0,0.002,0,0.066,0.311
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.794,0.029,0.195,0.002,0.099,0.205,0
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.057,0.713,0.112,0.031,0.146,0.168,0.2
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.046,0.141,0.308,0.779,0.355,0.09,0.128
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.035,0.029,0.093,0.07,0.124,0.197,0
"P20","En blanco",0.03,0.024,0.153,0.103,0.211,0.102,0.06
"P20","No sabe",0.038,0.064,0.139,0.015,0.065,0.238,0.612
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.811,0.028,0.127,0,0.126,0.119,0.005
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.039,0.711,0.095,0.039,0.033,0.223,0.258
"P21","Julio Zamora a intendente por un partido vecinal",0.067,0.038,0.474,0.128,0.111,0.195,0.039
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.027,0.118,0.205,0.787,0.456,0.119,0.005
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.019,0.044,0.039,0.206,0.045,0.034
"P21","En blanco",0.007,0.032,0.051,0.005,0.028,0.169,0.309
"P21","No sabe",0.022,0.054,0.004,0.002,0.04,0.13,0.35
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.827,0.026,0.192,0.007,0.134,0.291,0.005
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.043,0.895,0.13,0.07,0.054,0.164,0.231
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.039,0.019,0.399,0.83,0.114,0.087,0.136
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.015,0.085,0.069,0.613,0,0
"P22","En blanco",0.034,0.008,0.054,0.007,0.033,0.228,0
"P22","No sabe",0.035,0.037,0.14,0.017,0.052,0.23,0.628
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.829,0.036,0.149,0.014,0.252,0.119,0.019
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.043,0.877,0.072,0.067,0.176,0.224,0.223
"P23","Julio Zamora a intendente por un partido vecinal",0.025,0.023,0.502,0.152,0.122,0.255,0.169
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.012,0.15,0.715,0.245,0.027,0
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.003,0.015,0.019,0.172,0.121,0
"P23","En blanco",0.024,0.022,0.083,0.022,0.033,0.145,0.163
"P23","No sabe",0.047,0.027,0.029,0.011,0,0.109,0.426
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.803,0.033,0.228,0.029,0,0.254,0
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.053,0.119,0.241,0.028,0.069,0.022,0.18
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.026,0.621,0.099,0.085,0.071,0.38,0.346
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.052,0.187,0.189,0.094,0.151,0.152,0.067
