"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.785,0.105,0.071,0.367,0.104,0.161,0.285,0.221
"P07","Al candidato de Juntos por el Cambio",0.076,0.638,0.704,0.112,0.134,0.01,0.082,0.101
"P07","Al candidato de los liberales - libertarios",0.011,0.091,0.097,0.368,0.611,0.112,0.088,0.048
"P07","Al candidato de la Izquierda",0.025,0.031,0.01,0.013,0.029,0.439,0.018,0.142
"P07","A otro candidato",0.042,0.049,0.052,0.076,0.082,0.194,0.243,0.216
"P07","No sabe",0.061,0.086,0.066,0.064,0.04,0.084,0.284,0.272
"P08","A Malena Galmarini",0.669,0.347,0.284,0.15,0.45,0.06,0.261,0.158
"P08","A Julio Zamora",0.331,0.653,0.716,0.85,0.55,0.94,0.739,0.842
"P09","A Segundo Cernadas",0.255,0.475,0.661,0.57,0.805,1,0.624,0.925
"P09","A Nicolás Massot",0.745,0.525,0.339,0.43,0.195,0,0.376,0.075
"P10","A Malena Galmarini por el Frente de Todos",0.546,0.092,0.036,0.047,0.1,0.011,0.085,0.075
"P10","A Julio Zamora por el Frente de Todos",0.271,0.097,0.093,0.435,0.07,0.15,0.292,0.202
"P10","A Segundo Cernadas por Juntos por el Cambio",0.042,0.371,0.585,0.099,0.16,0,0.077,0.121
"P10","A Nicolás Massot por Juntos por el Cambio",0.044,0.276,0.124,0.034,0.035,0.176,0.009,0.021
"P10","Al candidato de los liberales libertarios",0.009,0.098,0.04,0.334,0.52,0.08,0.085,0.032
"P10","A Paula Akerfeld por el Frente de Izquierda",0.027,0.02,0.026,0.008,0.028,0.444,0.035,0.166
"P10","No sabe",0.061,0.046,0.096,0.043,0.087,0.139,0.417,0.383
"P12","A Julio Zamora por el Frente de Todos",0.663,0.116,0.1,0.446,0.099,0.139,0.361,0.169
"P12","A Segundo Cernadas por Juntos por el Cambio",0.095,0.612,0.648,0.106,0.15,0.045,0.079,0.152
"P12","Al candidato de los liberales libertarios",0.042,0.136,0.09,0.337,0.552,0.028,0.036,0.045
"P12","A Paula Akerfeld por el Frente de Izquierda",0.035,0.03,0.006,0.007,0.033,0.469,0.035,0.17
"P12","No sabe",0.165,0.106,0.156,0.104,0.166,0.319,0.489,0.464
"P14","A Malena Galmarini por el Frente de Todos",0.74,0.113,0.101,0.142,0.091,0.11,0.256,0.164
"P14","A Segundo Cernadas por Juntos por el Cambio",0.085,0.624,0.657,0.198,0.139,0.029,0.097,0.183
"P14","Al candidato de los liberales libertarios",0.03,0.141,0.07,0.412,0.635,0.116,0.044,0.009
"P14","A Paula Akerfeld por el Frente de Izquierda",0.033,0.022,0.007,0.035,0.04,0.464,0.08,0.116
"P14","No sabe",0.112,0.1,0.165,0.213,0.095,0.281,0.523,0.528
"P16","A Malena Galmarini por el Frente de Todos",0.637,0.121,0.12,0.064,0.107,0.133,0.129,0.09
"P16","A Segundo Cernadas por Juntos por el Cambio",0.104,0.462,0.581,0.125,0.116,0,0.1,0.117
"P16","A Nicolás Massot por Juntos por el Cambio",0.067,0.26,0.135,0.048,0.079,0,0.02,0.017
"P16","A Julio Zamora por un partido vecinal",0.121,0.049,0.047,0.38,0.057,0.247,0.194,0.142
"P16","Al candidato de los liberales libertarios",0.021,0.076,0.061,0.361,0.547,0.104,0.13,0.135
"P16","A Paula Akerfeld por el Frente de Izquierda",0.005,0.002,0.017,0.001,0.026,0.345,0.015,0.15
"P16","No sabe",0.045,0.03,0.039,0.021,0.068,0.171,0.412,0.349
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.84,0.027,0.021,0.108,0.005,0.128,0.02,0.044
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.099,0.083,0.045,0.242,0.012,0.011,0.11,0.014
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.01,0.822,0.262,0.066,0.01,0,0.023,0.044
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.017,0.032,0.603,0.088,0.021,0,0.03,0.014
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.019,0.033,0.399,0.896,0,0.009,0.006
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.014,0.002,0.008,0.037,0.672,0.019,0
"P18","En blanco",0,0.001,0,0.011,0.005,0.189,0.251,0.033
"P18","No sabe",0.012,0.002,0.034,0.078,0.014,0,0.538,0.845
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.866,0.048,0.132,0.121,0.009,0.033,0.047,0.069
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.618,0.665,0.097,0.007,0.011,0.06,0.094
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.069,0.186,0.149,0.409,0.662,0.044,0.029,0.004
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.01,0,0.113,0.066,0.49,0.028,0.005
"P20","En blanco",0.01,0.036,0.028,0.075,0.224,0.174,0.14,0.021
"P20","No sabe",0.005,0.102,0.026,0.185,0.032,0.248,0.696,0.807
