"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.82,0.075,0.128,0.261,0.297,0.256
"P07","Al candidato de Juntos por el Cambio",0.052,0.762,0.191,0.024,0.193,0.255
"P07","Al candidato de los liberales - libertarios",0.031,0.059,0.602,0.601,0.249,0.081
"P07","Al candidato de la Izquierda",0.022,0.031,0.007,0.114,0,0.135
"P07","A otro candidato",0.031,0.031,0.048,0,0.102,0.11
"P07","No sabe",0.044,0.042,0.024,0,0.159,0.163
"P08","A Malena Galmarini",0.666,0.447,0.146,0.242,0.017,0.21
"P08","A Julio Zamora",0.334,0.553,0.854,0.758,0.983,0.79
"P09","A Segundo Cernadas",0.455,0.555,0.657,0,0.838,0.567
"P09","A Nicolás Massot",0.545,0.445,0.343,1,0.162,0.433
"P10","A Malena Galmarini por el Frente de Todos",0.556,0.053,0.07,0.124,0.049,0.051
"P10","A Julio Zamora por el Frente de Todos",0.301,0.097,0.169,0.23,0.324,0.293
"P10","A Segundo Cernadas por Juntos por el Cambio",0.041,0.498,0.139,0.1,0.234,0.253
"P10","A Nicolás Massot por Juntos por el Cambio",0.037,0.278,0.084,0.085,0,0.097
"P10","Al candidato de los liberales libertarios",0.028,0.041,0.503,0.207,0.288,0.025
"P10","A Paula Akerfeld por el Frente de Izquierda",0.012,0.002,0.005,0.08,0.019,0.221
"P10","No sabe",0.025,0.031,0.03,0.174,0.086,0.06
"P12","A Julio Zamora por el Frente de Todos",0.681,0.076,0.144,0.286,0.338,0.33
"P12","A Segundo Cernadas por Juntos por el Cambio",0.088,0.741,0.156,0.059,0.263,0.273
"P12","Al candidato de los liberales libertarios",0.063,0.069,0.572,0.433,0.243,0.057
"P12","A Paula Akerfeld por el Frente de Izquierda",0.043,0.026,0.009,0.061,0.006,0.122
"P12","No sabe",0.125,0.088,0.119,0.161,0.15,0.218
"P14","A Malena Galmarini por el Frente de Todos",0.772,0.075,0.064,0.183,0.02,0.07
"P14","A Segundo Cernadas por Juntos por el Cambio",0.095,0.761,0.16,0.089,0.288,0.348
"P14","Al candidato de los liberales libertarios",0.038,0.055,0.719,0.49,0.263,0.054
"P14","A Paula Akerfeld por el Frente de Izquierda",0.022,0.031,0.006,0.104,0.078,0.113
"P14","No sabe",0.073,0.078,0.051,0.134,0.351,0.415
"P16","A Malena Galmarini por el Frente de Todos",0.638,0.076,0.124,0.013,0.102,0.085
"P16","A Segundo Cernadas por Juntos por el Cambio",0.055,0.591,0.12,0.126,0.248,0.295
"P16","A Nicolás Massot por Juntos por el Cambio",0.075,0.255,0.079,0.081,0.04,0.047
"P16","A Julio Zamora por un partido vecinal",0.13,0.035,0.131,0.134,0.297,0.181
"P16","Al candidato de los liberales libertarios",0.027,0.034,0.528,0.342,0.256,0.198
"P16","A Paula Akerfeld por el Frente de Izquierda",0.009,0,0.003,0.151,0,0.113
"P16","No sabe",0.066,0.009,0.015,0.153,0.057,0.081
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.708,0.027,0.056,0.024,0.027,0.145
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.132,0.035,0.066,0.112,0.291,0.122
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.038,0.64,0.132,0.123,0.182,0.216
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.014,0.238,0.045,0.018,0.037,0.17
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.035,0.673,0.54,0.362,0.048
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.002,0.013,0.101,0,0.075
"P18","En blanco",0.014,0.005,0.002,0.013,0.076,0.039
"P18","No sabe",0.08,0.018,0.013,0.069,0.025,0.185
