"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Que continúe el intendente Julio Zamora",0.147,0.146,0.147,0.266,0.117,0.124,0.129,0.151,0.157,0.125,0.222,0.091,0.093
"Que continúe Julio Zamora pero con mejoras",0.215,0.224,0.208,0.22,0.234,0.178,0.216,0.209,0.235,0.19,0.325,0.116,0.399
"Que cambie Julio Zamora pero que se mantengan los avances",0.18,0.159,0.201,0.11,0.175,0.201,0.243,0.168,0.184,0.188,0.172,0.201,0.076
"Que cambie el intendente Julio Zamora",0.458,0.471,0.444,0.404,0.474,0.497,0.412,0.472,0.424,0.497,0.281,0.592,0.432
