"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.252,0.241,0.262,0.256,0.271,0.246,0.196,0.275,0.251,0.224,0.477,0.085,0.162
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.189,0.169,0.209,0.117,0.145,0.271,0.313,0.175,0.17,0.244,0.064,0.377,0.09
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.113,0.085,0.14,0.055,0.106,0.125,0.21,0.103,0.11,0.131,0.043,0.208,0.193
"Julio Zamora a intendente por un partido vecinal",0.146,0.17,0.123,0.141,0.165,0.143,0.103,0.156,0.143,0.138,0.174,0.118,0.137
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.187,0.261,0.116,0.315,0.196,0.104,0.08,0.192,0.196,0.163,0.116,0.169,0.19
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.013,0.029,0.035,0.015,0.023,0.013,0.01,0.031,0.019,0.013,0.006,0.034
"En blanco",0.038,0.035,0.04,0.04,0.035,0.041,0.037,0.03,0.042,0.039,0.045,0.016,0.113
"No sabe",0.054,0.026,0.081,0.041,0.067,0.047,0.048,0.059,0.057,0.042,0.068,0.021,0.081
