"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.853,0.115,0.106,0.584,0.025,0.027,0.127,0.089
"P07","Al candidato de Juntos por el Cambio",0.05,0.637,0.742,0.151,0.091,0,0.084,0.155
"P07","Al candidato de los liberales - libertarios",0.005,0.125,0.089,0.12,0.777,0,0.218,0.021
"P07","Al candidato de la Izquierda",0.026,0.029,0,0.033,0.006,0.515,0.129,0.347
"P07","A otro candidato",0.025,0.037,0.019,0.02,0.078,0.458,0.273,0.099
"P07","No sabe",0.041,0.057,0.044,0.092,0.023,0,0.169,0.289
"P08","A Malena Galmarini",0.682,0.376,0.532,0.091,0.368,0,0,0.704
"P08","A Julio Zamora",0.318,0.624,0.468,0.909,0.632,1,1,0.296
"P09","A Segundo Cernadas",0.269,0.418,0.694,0.205,0.948,0,1,0.283
"P09","A Nicolás Massot",0.731,0.582,0.306,0.795,0.052,0,0,0.717
"P10","A Malena Galmarini por el Frente de Todos",0.556,0.081,0.091,0.04,0.074,0,0.318,0
"P10","A Julio Zamora por el Frente de Todos",0.315,0.078,0.059,0.804,0.009,0.373,0.035,0.195
"P10","A Segundo Cernadas por Juntos por el Cambio",0.033,0.358,0.626,0.054,0.116,0,0.112,0.173
"P10","A Nicolás Massot por Juntos por el Cambio",0.05,0.366,0.129,0.057,0.052,0.027,0,0
"P10","Al candidato de los liberales libertarios",0.012,0.085,0.025,0,0.692,0,0.129,0.013
"P10","A Paula Akerfeld por el Frente de Izquierda",0.012,0.009,0.018,0.016,0.005,0.376,0.317,0.412
"P10","No sabe",0.022,0.023,0.052,0.029,0.052,0.224,0.089,0.207
"P12","A Julio Zamora por el Frente de Todos",0.693,0.073,0.099,0.788,0.025,0.069,0.035,0.221
"P12","A Segundo Cernadas por Juntos por el Cambio",0.091,0.671,0.705,0.055,0.107,0,0.13,0.239
"P12","Al candidato de los liberales libertarios",0.048,0.123,0.112,0.084,0.702,0,0.092,0.008
"P12","A Paula Akerfeld por el Frente de Izquierda",0.036,0.026,0.003,0.032,0.007,0.376,0.301,0.25
"P12","No sabe",0.132,0.107,0.081,0.041,0.159,0.555,0.442,0.282
"P14","A Malena Galmarini por el Frente de Todos",0.791,0.107,0.084,0.236,0.018,0.027,0.146,0.164
"P14","A Segundo Cernadas por Juntos por el Cambio",0.078,0.647,0.727,0.216,0.113,0,0.33,0.132
"P14","Al candidato de los liberales libertarios",0.034,0.119,0.077,0.173,0.809,0,0.092,0.021
"P14","A Paula Akerfeld por el Frente de Izquierda",0.026,0.029,0.011,0.072,0.004,0.376,0.129,0.275
"P14","No sabe",0.071,0.098,0.101,0.303,0.056,0.597,0.303,0.408
"P16","A Malena Galmarini por el Frente de Todos",0.675,0.09,0.11,0.102,0.078,0,0.301,0.097
"P16","A Segundo Cernadas por Juntos por el Cambio",0.058,0.429,0.689,0.096,0.11,0.027,0.176,0.132
"P16","A Nicolás Massot por Juntos por el Cambio",0.077,0.345,0.121,0.026,0.051,0,0.092,0.021
"P16","A Julio Zamora por un partido vecinal",0.105,0.035,0.031,0.597,0.013,0.069,0,0.057
"P16","Al candidato de los liberales libertarios",0.022,0.066,0.033,0.118,0.72,0.331,0.214,0.119
"P16","A Paula Akerfeld por el Frente de Izquierda",0.01,0.021,0.003,0.01,0.005,0.376,0.128,0.262
"P16","No sabe",0.053,0.014,0.013,0.051,0.023,0.197,0.089,0.312
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.771,0.027,0.066,0.2,0.003,0.304,0,0.038
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.114,0.054,0.02,0.392,0.022,0.069,0,0
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.015,0.797,0.395,0.113,0.065,0,0.218,0.232
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.009,0.052,0.401,0.067,0.018,0,0.195,0.029
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.046,0.066,0.099,0.876,0,0.126,0.062
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.004,0.02,0.019,0.011,0.515,0,0.097
"P18","En blanco",0.016,0.002,0.013,0.015,0.005,0.058,0.236,0.063
"P18","No sabe",0.064,0.018,0.019,0.095,0,0.054,0.225,0.479
