"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.271,0.249,0.291,0.272,0.288,0.263,0.228,0.283,0.276,0.246,0.486,0.114,0.222
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.226,0.182,0.268,0.126,0.174,0.287,0.445,0.201,0.202,0.301,0.079,0.438,0.215
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.257,0.353,0.166,0.343,0.277,0.212,0.134,0.286,0.239,0.255,0.178,0.289,0.186
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.048,0.043,0.054,0.069,0.053,0.034,0.025,0.036,0.059,0.045,0.042,0.02,0.085
"En blanco",0.075,0.09,0.061,0.099,0.069,0.08,0.045,0.088,0.086,0.037,0.067,0.055,0.09
"No sabe",0.123,0.083,0.16,0.091,0.139,0.124,0.123,0.106,0.138,0.116,0.148,0.084,0.202
