"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Al candidato del Frente de Todos",0.305,0.31,0.43,0.351,0.437
"P07","Al candidato de Juntos por el Cambio",0.324,0.285,0.353,0.323,0.247
"P07","Al candidato de los liberales - libertarios",0.223,0.247,0.09,0.182,0.208
"P07","Al candidato de la Izquierda",0.046,0.026,0.024,0.035,0.073
"P07","A otro candidato",0.042,0.051,0.016,0.075,0.017
"P07","No sabe",0.06,0.081,0.087,0.034,0.018
"P08","A Malena Galmarini",0.737,0.523,0.49,0.472,0.409
"P08","A Julio Zamora",0.263,0.477,0.51,0.528,0.591
"P09","A Segundo Cernadas",0.491,0.627,0.675,0.656,0.692
"P09","A Nicolás Massot",0.509,0.373,0.325,0.344,0.308
"P10","A Malena Galmarini por el Frente de Todos",0.283,0.215,0.14,0.206,0.178
"P10","A Julio Zamora por el Frente de Todos",0.139,0.167,0.396,0.192,0.333
"P10","A Segundo Cernadas por Juntos por el Cambio",0.236,0.281,0.226,0.206,0.208
"P10","A Nicolás Massot por Juntos por el Cambio",0.142,0.117,0.094,0.134,0.027
"P10","Al candidato de los liberales libertarios",0.159,0.158,0.07,0.195,0.135
"P10","A Paula Akerfeld por el Frente de Izquierda",0.007,0.012,0.059,0.035,0.065
"P10","No sabe",0.034,0.05,0.015,0.032,0.054
"P12","A Julio Zamora por el Frente de Todos",0.264,0.244,0.437,0.311,0.542
"P12","A Segundo Cernadas por Juntos por el Cambio",0.319,0.402,0.236,0.283,0.18
"P12","Al candidato de los liberales libertarios",0.243,0.187,0.158,0.206,0.191
"P12","A Paula Akerfeld por el Frente de Izquierda",0.027,0.029,0.033,0.051,0.052
"P12","No sabe",0.147,0.138,0.136,0.149,0.035
"P14","A Malena Galmarini por el Frente de Todos",0.256,0.241,0.346,0.305,0.32
"P14","A Segundo Cernadas por Juntos por el Cambio",0.345,0.395,0.245,0.275,0.308
"P14","Al candidato de los liberales libertarios",0.227,0.256,0.239,0.252,0.174
"P14","A Paula Akerfeld por el Frente de Izquierda",0.039,0.022,0.034,0.035,0.062
"P14","No sabe",0.133,0.086,0.136,0.133,0.136
"P16","A Malena Galmarini por el Frente de Todos",0.27,0.23,0.286,0.279,0.201
"P16","A Segundo Cernadas por Juntos por el Cambio",0.289,0.293,0.25,0.212,0.202
"P16","A Nicolás Massot por Juntos por el Cambio",0.144,0.118,0.061,0.119,0.066
"P16","A Julio Zamora por un partido vecinal",0.058,0.118,0.203,0.094,0.236
"P16","Al candidato de los liberales libertarios",0.175,0.196,0.107,0.189,0.217
"P16","A Paula Akerfeld por el Frente de Izquierda",0.018,0.012,0.023,0.044,0.034
"P16","No sabe",0.046,0.033,0.07,0.063,0.044
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.28,0.21,0.193,0.223,0.256
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.059,0.066,0.226,0.129,0.116
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.287,0.283,0.251,0.267,0.191
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.102,0.141,0.082,0.068,0.066
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.197,0.227,0.183,0.252,0.212
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.005,0.018,0.01,0.044
"P18","En blanco",0.001,0.027,0.011,0.009,0.039
"P18","No sabe",0.059,0.041,0.036,0.042,0.076
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.294,0.194,0.253,0.249,0.233
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.232,0.274,0.178,0.317,0.171
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.13,0.161,0.094,0.058,0.047
"P19","Julio Zamora a intendente por un partido vecinal",0.106,0.156,0.214,0.108,0.217
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.162,0.167,0.16,0.228,0.222
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.01,0.018,0.01,0.038
"P19","En blanco",0.024,0.01,0.022,0.002,0.035
"P19","No sabe",0.036,0.028,0.061,0.028,0.037
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.267,0.191,0.288,0.317,0.273
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.297,0.28,0.21,0.243,0.199
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.253,0.279,0.235,0.182,0.172
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.076,0.079,0.03,0.058,0.074
"P20","En blanco",0.025,0.097,0.096,0.146,0.135
"P20","No sabe",0.082,0.074,0.141,0.054,0.147
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.261,0.195,0.223,0.316,0.244
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.297,0.275,0.226,0.227,0.162
"P21","Julio Zamora a intendente por un partido vecinal",0.143,0.062,0.264,0.109,0.198
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.197,0.318,0.141,0.239,0.23
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.054,0.069,0.024,0.064
"P21","En blanco",0.031,0.049,0.014,0.02,0.08
"P21","No sabe",0.038,0.047,0.063,0.065,0.022
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.294,0.213,0.3,0.314,0.324
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.313,0.405,0.289,0.32,0.254
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.198,0.228,0.244,0.23,0.185
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.077,0.05,0.058,0.035,0.074
"P22","En blanco",0.033,0.033,0.014,0.033,0.039
"P22","No sabe",0.085,0.071,0.095,0.068,0.124
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.296,0.199,0.265,0.316,0.29
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.33,0.376,0.196,0.303,0.242
"P23","Julio Zamora a intendente por un partido vecinal",0.098,0.125,0.317,0.107,0.163
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.14,0.195,0.114,0.169,0.188
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.054,0.007,0.039,0.046,0.007
"P23","En blanco",0.029,0.075,0.043,0.002,0.106
"P23","No sabe",0.053,0.023,0.026,0.057,0.004
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.275,0.249,0.276,0.294,0.303
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.091,0.08,0.2,0.099,0.125
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.215,0.294,0.194,0.256,0.219
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.153,0.159,0.141,0.054,0.097
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.185,0.172,0.112,0.229,0.173
