"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.778,0.082,0.127,0.393,0.224,0.258
"P07","Al candidato de Juntos por el Cambio",0.094,0.748,0.148,0.095,0.19,0.188
"P07","Al candidato de los liberales - libertarios",0.018,0.054,0.593,0.108,0.298,0.082
"P07","Al candidato de la Izquierda",0.031,0.009,0.023,0.255,0.009,0.077
"P07","A otro candidato",0.036,0.046,0.059,0.111,0.189,0.147
"P07","No sabe",0.043,0.061,0.05,0.038,0.09,0.248
"P08","A Malena Galmarini",0.617,0.307,0.501,0.262,0.36,0.175
"P08","A Julio Zamora",0.383,0.693,0.499,0.738,0.64,0.825
"P09","A Segundo Cernadas",0.493,0.527,0.68,0.816,0.628,0.626
"P09","A Nicolás Massot",0.507,0.473,0.32,0.184,0.372,0.374
"P10","A Malena Galmarini por el Frente de Todos",0.498,0.06,0.098,0.141,0.1,0.04
"P10","A Julio Zamora por el Frente de Todos",0.309,0.075,0.11,0.291,0.193,0.358
"P10","A Segundo Cernadas por Juntos por el Cambio",0.063,0.504,0.145,0.091,0.174,0.121
"P10","A Nicolás Massot por Juntos por el Cambio",0.047,0.236,0.07,0.062,0.051,0.061
"P10","Al candidato de los liberales libertarios",0.016,0.039,0.509,0.154,0.259,0.047
"P10","A Paula Akerfeld por el Frente de Izquierda",0.033,0.028,0.013,0.196,0.021,0.075
"P10","No sabe",0.034,0.058,0.055,0.065,0.202,0.298
"P12","A Julio Zamora por el Frente de Todos",0.643,0.136,0.113,0.382,0.241,0.345
"P12","A Segundo Cernadas por Juntos por el Cambio",0.118,0.692,0.173,0.18,0.142,0.146
"P12","Al candidato de los liberales libertarios",0.048,0.077,0.553,0.068,0.286,0.061
"P12","A Paula Akerfeld por el Frente de Izquierda",0.04,0.019,0.013,0.246,0.043,0.067
"P12","No sabe",0.151,0.076,0.148,0.124,0.288,0.381
"P14","A Malena Galmarini por el Frente de Todos",0.743,0.099,0.085,0.133,0.153,0.133
"P14","A Segundo Cernadas por Juntos por el Cambio",0.114,0.722,0.171,0.144,0.112,0.236
"P14","Al candidato de los liberales libertarios",0.019,0.081,0.637,0.165,0.336,0.068
"P14","A Paula Akerfeld por el Frente de Izquierda",0.036,0.007,0.013,0.325,0.071,0.087
"P14","No sabe",0.088,0.091,0.094,0.233,0.328,0.476
"P16","A Malena Galmarini por el Frente de Todos",0.612,0.091,0.097,0.151,0.195,0.056
"P16","A Segundo Cernadas por Juntos por el Cambio",0.109,0.571,0.155,0.133,0.132,0.146
"P16","A Nicolás Massot por Juntos por el Cambio",0.053,0.215,0.107,0.093,0.037,0.044
"P16","A Julio Zamora por un partido vecinal",0.142,0.064,0.079,0.232,0.171,0.285
"P16","Al candidato de los liberales libertarios",0.035,0.036,0.515,0.181,0.27,0.162
"P16","A Paula Akerfeld por el Frente de Izquierda",0.018,0.004,0.005,0.176,0.021,0.058
"P16","No sabe",0.031,0.019,0.042,0.034,0.174,0.249
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.762,0.025,0.065,0.063,0.078,0.052
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.11,0.062,0.044,0.153,0.109,0.156
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.041,0.538,0.175,0.073,0.1,0.186
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.049,0.303,0.024,0.098,0.03,0.014
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.026,0.67,0.175,0.552,0.063
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.011,0.009,0.337,0.012,0.029
"P18","En blanco",0.008,0.005,0.002,0.015,0.089,0.038
"P18","No sabe",0.018,0.03,0.011,0.086,0.03,0.462
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.818,0.028,0.068,0.13,0.034,0.01
