"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.288,0.288,0.288,0.338,0.293,0.27,0.214,0.337,0.272,0.255,0.525,0.082,0.303
"Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.255,0.212,0.295,0.098,0.196,0.378,0.516,0.193,0.237,0.367,0.069,0.509,0.164
"Julio Zamora a intendente por un partido vecinal",0.144,0.163,0.125,0.182,0.144,0.144,0.073,0.137,0.162,0.117,0.189,0.103,0.245
"A los candidatos a gobernador y a intendente de la Libertad Avanza",0.168,0.251,0.089,0.174,0.215,0.119,0.092,0.209,0.143,0.163,0.071,0.18,0.152
"A los candidatos a gobernador y a intendente del Frente de Izquierda",0.045,0.049,0.042,0.086,0.036,0.023,0.039,0.076,0.035,0.027,0.045,0.022,0.013
"En blanco",0.053,0.031,0.075,0.084,0.057,0.03,0.024,0.003,0.096,0.037,0.049,0.051,0.123
"No sabe",0.047,0.006,0.086,0.038,0.059,0.036,0.042,0.045,0.055,0.034,0.052,0.053,0
