"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P21","Energía eléctrica",0.082,0.221,0.212,0.117,0.08,0.087,0.073,0.013,0.098
"P21","Red de gas natural",0.061,0.121,0.126,0.077,0.065,0.07,0.182,0.168,0.046
"P21","Recolección de residuos",0.196,0.223,0.066,0.15,0.161,0.119,0.063,0.114,0.122
"P21","Ninguno",0.233,0.113,0.194,0.379,0.238,0.133,0.068,0.133,0.206
"P22","Los robos",0.228,0.252,0.271,0.374,0.256,0.355,0.3,0.279,0.256
"P22","El narcotráfico",0.349,0.246,0.285,0.299,0.298,0.143,0.283,0.396,0.278
"P22","La ausencia de patrulleros y personal policial",0.1,0.216,0.261,0.136,0.059,0.285,0.058,0.125,0.172
"P22","Otro",0.212,0.042,0.068,0.145,0.232,0.149,0.167,0.097,0.198
"P22","Ninguno",0.111,0.244,0.115,0.046,0.155,0.068,0.192,0.103,0.096
"P23","Frente de Todos y el peronismo",0.336,0.168,0.243,0.479,0.327,0.371,0.556,0.133,0.16
"P23","Cambiemos",0.384,0.352,0.317,0.257,0.292,0.185,0.231,0.333,0.312
"P23","Liberales Libertarios",0.143,0.24,0.199,0.112,0.154,0.232,0.094,0.261,0.223
"P23","Izquierda",0.051,0.019,0.036,0.089,0.102,0.044,0,0.036,0.032
"P23","No sabe",0.086,0.221,0.205,0.063,0.125,0.168,0.119,0.237,0.273
"P25","A Alberto Fernández",0.182,0.717,0.568,0.545,0.081,0.28,0.138,0,0.044
"P25","A Sergio Massa",0.413,0,0.106,0.403,0.317,0.242,0.305,0.153,0.084
"P25","A algún candidato del peronismo",0.086,0,0.027,0.043,0.019,0.054,0.124,0.142,0.617
"P25","A algún candidato del kirchnerismo",0.319,0.283,0.299,0.009,0.583,0.424,0.433,0.705,0.255
"P26","A Alberto Fernández",0.11,0.677,0.202,0.359,0.048,0.13,0,0,0.018
"P26","A Sergio Massa",0.191,0.04,0.131,0.092,0.238,0.158,0.14,0.153,0.104
"P26","A algún candidato del peronismo",0.181,0,0.072,0.314,0.031,0.026,0.099,0.201,0.586
"P26","A Cristina Fernández de Kirchner",0.518,0.283,0.595,0.235,0.683,0.686,0.761,0.646,0.292
"P27","A Horacio Rodriguez Larreta",0.285,0.448,0.426,0.176,0.28,0.244,0.441,0.312,0.185
"P27","A Mauricio Macri",0.27,0.303,0.184,0.413,0.391,0.52,0.381,0.381,0.357
"P27","A Patricia Bullrich",0.184,0.231,0.232,0.411,0.232,0.236,0.046,0.238,0.255
"P27","A Facundo Manes",0.176,0.018,0.158,0,0.097,0,0.132,0.052,0.101
"P27","A Gerardo Morales",0.085,0,0,0,0,0,0,0.017,0.102
"P28","Seguro lo votaria",0.11,0.066,0.133,0.525,0.306,0.264,0.105,0.25,0.202
"P28","Quizás lo votaría",0.276,0.195,0.56,0.047,0.342,0.499,0.522,0.478,0.332
"P28","Nunca lo votaría",0.614,0.739,0.307,0.428,0.352,0.237,0.373,0.272,0.466
