"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.765,0.53,0.13,0.093,0.01,0.006,0.143
"P07","Al candidato de Juntos por el Cambio",0.082,0.209,0.69,0.712,0.132,0.019,0.051
"P07","Al candidato de los liberales - libertarios",0.033,0.13,0.118,0.159,0.669,0,0.012
"P07","Al candidato de la Izquierda",0.003,0.038,0.007,0.01,0,0.559,0.09
"P07","A otro candidato",0.048,0.079,0.022,0.022,0.153,0.037,0.346
"P07","No sabe",0.069,0.014,0.033,0.004,0.036,0.379,0.358
"P10","A Julio Zamora por el Frente de Todos",0.856,0.425,0.138,0.296,0.004,0.049,0.108
"P10","A Segundo Cernadas por Cambiemos",0.077,0.208,0.708,0.343,0.103,0.074,0.065
"P10","Al candidato de los liberales libertarios",0.036,0.032,0.116,0.104,0.549,0.032,0.007
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.167,0.007,0.212,0,0.696,0.022
"P10","No sabe",0.031,0.168,0.031,0.045,0.344,0.149,0.798
"P12","A Malena Galmarini por el Frente de Todos",0.542,0.796,0.086,0.14,0.034,0.02,0.134
"P12","A Segundo Cernadas por Cambiemos",0.169,0.074,0.814,0.679,0.114,0.086,0.093
"P12","Al candidato de los liberales libertarios",0.029,0.007,0.052,0.086,0.725,0.023,0.015
"P12","A Paula Akerfeld por el Frente de Izquierda",0.024,0.02,0,0.06,0.004,0.698,0.026
"P12","No sabe",0.236,0.103,0.048,0.035,0.123,0.173,0.732
"P14","Muy buena",0.19,0.496,0.053,0.003,0.007,0.041,0.022
"P14","Buena",0.239,0.268,0.055,0.041,0.011,0.113,0.125
"P14","Ni buena ni mala",0.256,0.143,0.185,0.25,0.219,0.096,0.218
"P14","Mala",0.11,0.014,0.308,0.245,0.174,0.112,0.143
"P14","Muy mala",0.138,0.067,0.341,0.46,0.524,0.531,0.293
"P14","No sabe",0.067,0.012,0.058,0.001,0.065,0.107,0.199
"P15","Muy buena",0.44,0.181,0.08,0.028,0,0.064,0.035
"P15","Buena",0.311,0.299,0.142,0.117,0.082,0.072,0.092
"P15","Ni buena ni mala",0.187,0.342,0.267,0.268,0.225,0.118,0.232
"P15","Mala",0.021,0.046,0.23,0.221,0.333,0.13,0.253
"P15","Muy mala",0.036,0.121,0.23,0.355,0.312,0.583,0.228
"P15","No sabe",0.005,0.011,0.051,0.011,0.048,0.033,0.16
"P16","Muy buena",0.118,0.097,0.397,0.227,0.058,0.069,0.051
"P16","Buena",0.128,0.104,0.241,0.302,0.101,0.027,0.082
"P16","Ni buena ni mala",0.288,0.256,0.201,0.317,0.419,0.112,0.321
"P16","Mala",0.158,0.219,0.035,0.073,0.209,0.108,0.078
"P16","Muy mala",0.199,0.289,0.072,0.065,0.15,0.559,0.126
"P16","No sabe",0.109,0.035,0.054,0.016,0.063,0.125,0.342
"P17","Muy buena",0.095,0.058,0.046,0.071,0.01,0.063,0.007
"P17","Buena",0.033,0.089,0.018,0.033,0.006,0,0.037
"P17","Ni buena ni mala",0.321,0.323,0.377,0.411,0.379,0.228,0.154
"P17","Mala",0.076,0.112,0.071,0.068,0.214,0.081,0.018
"P17","Muy mala",0.041,0.066,0.071,0.018,0.154,0.424,0.117
"P17","No sabe",0.434,0.352,0.417,0.399,0.237,0.204,0.667
"P18","Muy buena",0.049,0.053,0.124,0.32,0.015,0.075,0.008
"P18","Buena",0.051,0.047,0.12,0.248,0.055,0,0.066
"P18","Ni buena ni mala",0.354,0.297,0.334,0.287,0.417,0.097,0.221
"P18","Mala",0.144,0.252,0.091,0,0.183,0.086,0.145
"P18","Muy mala",0.109,0.184,0.103,0.015,0.217,0.44,0.127
"P18","No sabe",0.293,0.167,0.228,0.13,0.113,0.302,0.433
"P19","La seguridad",0.325,0.328,0.268,0.316,0.172,0.053,0.193
"P19","El tránsito",0.071,0.071,0.05,0.021,0.039,0,0.012
"P19","El arreglo de las calles",0.189,0.094,0.061,0.108,0.121,0.087,0.088
"P19","El estado de las escuelas y la educación",0.045,0.025,0.057,0.011,0.054,0.041,0.037
"P19","El sistema de salud",0.099,0.104,0.143,0.079,0.047,0.234,0.028
"P19","El deporte y la cultura",0.097,0.094,0.132,0.053,0.099,0.152,0.107
"P19","La obra pública",0.089,0.08,0.026,0.017,0.065,0,0.014
"P19","La luminaria",0.041,0.089,0.101,0.171,0.078,0.015,0.087
"P19","No sabe",0.044,0.115,0.162,0.224,0.325,0.418,0.434
"P20","La seguridad",0.102,0.174,0.184,0.118,0.363,0.416,0.267
"P20","El tránsito",0.12,0.146,0.069,0.061,0.098,0,0.14
"P20","El arreglo de las calles",0.17,0.1,0.155,0.308,0.082,0.086,0.049
"P20","El estado de las escuelas y la educación",0.203,0.174,0.164,0.133,0.192,0.135,0.145
"P20","El sistema de salud",0.187,0.175,0.186,0.143,0.149,0.18,0.161
"P20","El deporte y la cultura",0.036,0.065,0.051,0.022,0.007,0.024,0.027
"P20","La obra pública",0.043,0.048,0.08,0.013,0.053,0.079,0.035
"P20","La luminaria",0.033,0.028,0.014,0.057,0.039,0.049,0.015
"P20","No sabe",0.106,0.09,0.097,0.145,0.017,0.031,0.161
"P21","Agua corriente y cloacas",0.398,0.483,0.496,0.466,0.584,0.511,0.523
"P21","Energía eléctrica",0.118,0.141,0.114,0.056,0.057,0.068,0.08
"P21","Red de gas natural",0.135,0.049,0.077,0.109,0.062,0.024,0.014
"P21","Recolección de residuos",0.123,0.182,0.177,0.172,0.119,0.079,0.074
"P21","Ninguno",0.226,0.145,0.136,0.197,0.178,0.318,0.309
"P22","Los robos",0.305,0.217,0.313,0.284,0.262,0.184,0.115
"P22","El narcotráfico",0.282,0.341,0.277,0.349,0.237,0.283,0.343
"P22","La ausencia de patrulleros y personal policial",0.134,0.139,0.141,0.116,0.244,0.222,0.202
"P22","Otro",0.113,0.245,0.204,0.112,0.128,0.192,0.221
"P22","Ninguno",0.166,0.058,0.065,0.139,0.129,0.119,0.119
"P23","Frente de Todos y el peronismo",0.561,0.573,0.091,0.119,0.069,0.085,0.095
"P23","Cambiemos",0.134,0.145,0.621,0.702,0.068,0.047,0.171
"P23","Liberales Libertarios",0.073,0.053,0.188,0.132,0.806,0.052,0.182
"P23","Izquierda",0.028,0.096,0.038,0.013,0.009,0.406,0.019
"P23","No sabe",0.204,0.133,0.062,0.034,0.048,0.41,0.533
"P25","A Alberto Fernández",0.34,0.146,0.229,0,0,0,0
"P25","A Sergio Massa",0.205,0.394,0.451,0.085,0.938,0,0.084
"P25","A algún candidato del peronismo",0.127,0.008,0.067,0.529,0.062,0.189,0.164
"P25","A algún candidato del kirchnerismo",0.328,0.452,0.253,0.386,0,0.811,0.752
"P26","A Alberto Fernández",0.235,0,0.089,0,0,0,0
"P26","A Sergio Massa",0.08,0.364,0.15,0.085,0,0,0.243
"P26","A algún candidato del peronismo",0.108,0.016,0.489,0.529,1,0.189,0.069
"P26","A Cristina Fernández de Kirchner",0.577,0.62,0.272,0.386,0,0.811,0.688
"P27","A Horacio Rodriguez Larreta",0.251,0.5,0.35,0.255,0.037,1,0.108
"P27","A Mauricio Macri",0.359,0.113,0.343,0.345,0.085,0,0.156
"P27","A Patricia Bullrich",0.056,0.044,0.229,0.265,0.362,0,0.48
"P27","A Facundo Manes",0.162,0.343,0.078,0.129,0,0,0.256
"P27","A Gerardo Morales",0.172,0,0,0.006,0.516,0,0
"P28","Seguro lo votaria",0.112,0.148,0.182,0.213,0.454,1,0.019
"P28","Quizás lo votaría",0.354,0.245,0.455,0.225,0,0,0.139
"P28","Nunca lo votaría",0.534,0.607,0.363,0.562,0.546,0,0.842
"P29","Muy buena",0.144,0.115,0.022,0.006,0.018,0,0.056
"P29","Buena",0.188,0.402,0.061,0.029,0,0.045,0.02
"P29","Ni buena ni mala",0.231,0.154,0.145,0.181,0.147,0.225,0.212
"P29","Mala",0.196,0.144,0.139,0.067,0.036,0.224,0.16
"P29","Muy mala",0.228,0.185,0.605,0.717,0.799,0.444,0.523
"P29","No sabe",0.013,0,0.028,0,0,0.062,0.029
"P30","Muy buena",0.072,0.037,0.267,0.223,0.09,0.008,0.043
"P30","Buena",0.08,0.067,0.295,0.251,0.149,0,0.049
"P30","Ni buena ni mala",0.113,0.13,0.228,0.235,0.274,0.012,0.322
"P30","Mala",0.285,0.184,0.071,0.124,0.178,0.146,0.214
"P30","Muy mala",0.449,0.553,0.126,0.167,0.309,0.799,0.324
"P30","No sabe",0.001,0.029,0.013,0,0,0.035,0.048
"P31","Muy buena",0.379,0.41,0.087,0.138,0.015,0.122,0.072
"P31","Buena",0.055,0.118,0.082,0.015,0,0.174,0.039
"P31","Ni buena ni mala",0.142,0.096,0.039,0.114,0.07,0.039,0.131
"P31","Mala",0.089,0.122,0.095,0.104,0.028,0.094,0.118
"P31","Muy mala",0.334,0.246,0.686,0.629,0.877,0.55,0.631
"P31","No sabe",0.001,0.008,0.011,0,0.01,0.021,0.009
"P32","Muy buena",0.119,0.176,0.31,0.282,0.206,0.007,0.151
"P32","Buena",0.147,0.084,0.316,0.281,0.168,0.028,0.086
"P32","Ni buena ni mala",0.225,0.152,0.189,0.154,0.351,0.082,0.325
"P32","Mala",0.189,0.184,0.027,0.146,0.072,0.043,0.18
"P32","Muy mala",0.296,0.392,0.141,0.137,0.193,0.819,0.227
"P32","No sabe",0.024,0.012,0.017,0,0.01,0.021,0.031
"P33","Muy buena",0.124,0.278,0.087,0.145,0.073,0.021,0.126
"P33","Buena",0.269,0.377,0.065,0.125,0.007,0.099,0.053
"P33","Ni buena ni mala",0.265,0.217,0.149,0.076,0.043,0.159,0.215
"P33","Mala",0.146,0.057,0.163,0.067,0.136,0.09,0.087
"P33","Muy mala",0.17,0.071,0.499,0.587,0.727,0.631,0.507
"P33","No sabe",0.026,0,0.037,0,0.014,0,0.012
"P34","Muy buena",0.084,0.134,0.419,0.549,0.328,0.022,0.148
"P34","Buena",0.117,0.046,0.198,0.181,0.248,0.032,0.099
"P34","Ni buena ni mala",0.145,0.116,0.127,0.032,0.25,0.008,0.228
"P34","Mala",0.156,0.175,0.055,0.054,0.022,0.043,0.121
"P34","Muy mala",0.465,0.515,0.165,0.184,0.142,0.861,0.34
"P34","No sabe",0.033,0.014,0.036,0,0.01,0.034,0.064
"P35","Muy buena",0.079,0.045,0.159,0.27,0.606,0.043,0.059
"P35","Buena",0.058,0.031,0.213,0.077,0.259,0.046,0.039
"P35","Ni buena ni mala",0.234,0.118,0.313,0.337,0.11,0.042,0.233
"P35","Mala",0.157,0.229,0.15,0.165,0,0.051,0.228
"P35","Muy mala",0.415,0.553,0.104,0.151,0.025,0.797,0.265
"P35","No sabe",0.057,0.024,0.061,0,0,0.021,0.176
