"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Segundo Cernadas","Positiva",0.346,0.296,0.391,0.222,0.328,0.395,0.491,0.377,0.348,0.309,0.357,0.227,0.385,0.162,0.558,0.102
"Segundo Cernadas","Neutra",0.275,0.332,0.224,0.419,0.234,0.283,0.186,0.251,0.286,0.285,0.269,0.277,0.28,0.278,0.219,0.373
"Segundo Cernadas","Negativa",0.285,0.295,0.276,0.285,0.337,0.251,0.186,0.257,0.281,0.322,0.304,0.333,0.249,0.454,0.149,0.431
"Segundo Cernadas","No sabe",0.094,0.077,0.109,0.074,0.101,0.071,0.137,0.115,0.085,0.084,0.07,0.163,0.086,0.106,0.074,0.094
"Julio Zamora","Positiva",0.385,0.371,0.397,0.217,0.422,0.417,0.431,0.41,0.409,0.319,0.364,0.433,0.384,0.535,0.291,0.394
"Julio Zamora","Neutra",0.239,0.216,0.259,0.248,0.254,0.215,0.222,0.19,0.254,0.266,0.25,0.216,0.238,0.206,0.247,0.393
"Julio Zamora","Negativa",0.339,0.381,0.302,0.493,0.304,0.342,0.252,0.344,0.306,0.389,0.336,0.31,0.354,0.249,0.413,0.213
"Julio Zamora","No sabe",0.037,0.032,0.042,0.042,0.02,0.026,0.095,0.056,0.031,0.026,0.05,0.041,0.024,0.01,0.049,0
"Horacio Rodriguez Larreta","Positiva",0.391,0.356,0.421,0.318,0.367,0.452,0.443,0.445,0.371,0.363,0.405,0.272,0.425,0.183,0.58,0.324
"Horacio Rodriguez Larreta","Neutra",0.216,0.228,0.205,0.237,0.236,0.174,0.203,0.19,0.237,0.212,0.239,0.183,0.211,0.208,0.195,0.224
"Horacio Rodriguez Larreta","Negativa",0.376,0.406,0.35,0.44,0.378,0.361,0.323,0.351,0.374,0.406,0.331,0.518,0.356,0.589,0.215,0.452
"Horacio Rodriguez Larreta","No sabe",0.017,0.01,0.024,0.005,0.019,0.013,0.031,0.014,0.018,0.019,0.025,0.027,0.008,0.02,0.01,0
"Patricia Bullrich","Positiva",0.398,0.416,0.384,0.399,0.335,0.469,0.467,0.455,0.35,0.416,0.471,0.217,0.413,0.17,0.61,0.25
"Patricia Bullrich","Neutra",0.138,0.135,0.139,0.136,0.15,0.152,0.083,0.112,0.142,0.159,0.113,0.167,0.146,0.063,0.149,0.361
"Patricia Bullrich","Negativa",0.435,0.426,0.443,0.46,0.466,0.367,0.424,0.407,0.472,0.405,0.38,0.573,0.424,0.731,0.217,0.389
"Patricia Bullrich","No sabe",0.029,0.023,0.034,0.005,0.049,0.012,0.026,0.026,0.036,0.02,0.036,0.043,0.017,0.036,0.024,0
"Nicolás Massot","Positiva",0.178,0.193,0.164,0.209,0.129,0.187,0.267,0.199,0.173,0.163,0.269,0.096,0.134,0.104,0.272,0.008
"Nicolás Massot","Neutra",0.321,0.337,0.306,0.271,0.348,0.34,0.276,0.319,0.341,0.289,0.252,0.318,0.379,0.288,0.347,0.288
