"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.297,0.206,0.367,0.364,0.292,0.276,0.288,0.28,0.273,0.344,0.191,0.366,0.341,0.286,0.299,0
"A Mauricio Macri",0.32,0.321,0.319,0.25,0.355,0.299,0.327,0.41,0.28,0.309,0.354,0.253,0.321,0.23,0.35,0.449
"A Patricia Bullrich",0.211,0.233,0.194,0.252,0.15,0.27,0.229,0.077,0.292,0.196,0.267,0.146,0.198,0.206,0.222,0.551
"A Facundo Manes",0.121,0.169,0.084,0.134,0.137,0.155,0.016,0.116,0.108,0.142,0.127,0.14,0.111,0.115,0.107,0
"A Gerardo Morales",0.051,0.071,0.036,0,0.066,0,0.14,0.117,0.047,0.009,0.061,0.095,0.029,0.163,0.022,0
