"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Segundo Cernadas","Muy buena",0.184,0.162,0.204,0.137,0.17,0.186,0.286,0.247,0.156,0.16,0.188,0.104,0.213,0.088,0.303,0.02
"Segundo Cernadas","Buena",0.162,0.134,0.187,0.085,0.158,0.209,0.205,0.13,0.192,0.149,0.169,0.123,0.172,0.074,0.255,0.082
"Segundo Cernadas","Ni buena ni mala",0.275,0.332,0.224,0.419,0.234,0.283,0.186,0.251,0.286,0.285,0.269,0.277,0.28,0.278,0.219,0.373
"Segundo Cernadas","Mala",0.121,0.136,0.108,0.129,0.115,0.143,0.094,0.103,0.128,0.13,0.158,0.09,0.102,0.174,0.071,0.264
"Segundo Cernadas","Muy mala",0.164,0.159,0.168,0.156,0.222,0.108,0.092,0.154,0.153,0.192,0.146,0.243,0.147,0.28,0.078,0.167
"Segundo Cernadas","No sabe",0.094,0.077,0.109,0.074,0.101,0.071,0.137,0.115,0.085,0.084,0.07,0.163,0.086,0.106,0.074,0.094
"Julio Zamora","Muy buena",0.187,0.16,0.211,0.081,0.23,0.183,0.2,0.256,0.171,0.138,0.167,0.226,0.189,0.3,0.119,0.193
"Julio Zamora","Buena",0.198,0.211,0.186,0.136,0.192,0.234,0.231,0.154,0.238,0.181,0.197,0.207,0.195,0.235,0.172,0.201
"Julio Zamora","Ni buena ni mala",0.239,0.216,0.259,0.248,0.254,0.215,0.222,0.19,0.254,0.266,0.25,0.216,0.238,0.206,0.247,0.393
"Julio Zamora","Mala",0.151,0.175,0.129,0.182,0.146,0.15,0.13,0.132,0.164,0.15,0.112,0.122,0.195,0.084,0.201,0.073
"Julio Zamora","Muy mala",0.188,0.206,0.173,0.311,0.158,0.192,0.122,0.212,0.142,0.239,0.224,0.188,0.159,0.165,0.212,0.14
"Julio Zamora","No sabe",0.037,0.032,0.042,0.042,0.02,0.026,0.095,0.056,0.031,0.026,0.05,0.041,0.024,0.01,0.049,0
"Horacio Rodriguez Larreta","Muy buena",0.2,0.131,0.26,0.177,0.192,0.213,0.225,0.222,0.205,0.166,0.231,0.149,0.195,0.097,0.311,0.078
"Horacio Rodriguez Larreta","Buena",0.191,0.225,0.161,0.141,0.175,0.239,0.218,0.223,0.166,0.197,0.174,0.123,0.23,0.086,0.269,0.246
