"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.876,0.922,0.847,0.803
"P06","Tiene dudas sobre si va a ir a  votar",0.08,0.078,0.083,0.124
"P06","Tiene Decidido que no va a ir a votar",0.044,0,0.07,0.073
"P07","Mucho",0.549,0.538,0.518,0.431
"P07","Bastante",0.27,0.242,0.218,0.313
"P07","Poco",0.101,0.14,0.188,0.073
"P07","Nada",0.055,0.08,0.076,0.122
"P07","No sabe",0.025,0,0,0.061
"P08","Siempre",0.186,0.372,0.197,0.277
"P08","Casi siempre",0.35,0.273,0.257,0.333
"P08","Casi nunca",0.298,0.263,0.29,0.219
"P08","Nunca, pero esta es una excepción",0.166,0.092,0.256,0.171
"P12","Unión por la Patria",0.739,0.057,0.162,0.112
"P12","Juntos por el Cambio",0.068,0.27,0.016,0.015
"P12","Juntos Somos Río Negro",0.061,0.154,0.049,0.16
"P12","Liberales",0.017,0.402,0.531,0.311
"P12","Izquierda",0.02,0.004,0.018,0.085
"P12","Otro",0.012,0.067,0.033,0.098
"P12","No sabe",0.083,0.046,0.191,0.219
"P13","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.832,0.08,0.048,0.125
"P13","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.008,0.239,0.033,0.019
"P13","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.061,0.054,0.013,0.102
"P13","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.076,0.594,0.799,0.708
"P13","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.012,0,0.008,0.001
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.033,0.067,0.011
"P13","En blanco",0.001,0,0.022,0
"P13","No sabe",0.008,0,0.01,0.034
"P17","Totalmente seguro",0.718,0.719,0.701,0.582
"P17","Bastante seguro",0.146,0.104,0.084,0.164
"P17","Algo seguro",0.081,0.089,0.173,0.102
"P17","Para nada seguro",0.055,0.088,0.042,0.152
"P18","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.377,0,0,0.087
"P18","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.859,0,0.238
"P18","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0.01,0,0.397
"P18","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0.215
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0
"P18","En blanco",0.546,0.084,1,0
"P18","No sabe",0,0.047,0,0.063
"P21","Sí",0.114,0.818,0.819,0.764
"P21","No",0.886,0.182,0.181,0.236
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",0.467,0.087,0.054,0.108
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.153,0.217,0.013,0.034
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.169,0.168,0.006,0.154
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.064,0.361,0.677,0.274
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.013,0.008,0.032,0.076
"P22","En blanco",0.006,0.011,0.103,0.08
"P22","No sabe",0.128,0.148,0.115,0.274
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.188,0.279,0.013,0.008
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.139,0.632,0.722,0.728
"P27","En blanco",0.48,0.073,0.194,0.042
"P27","No sabe",0.193,0.016,0.071,0.222
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.866,0.112,0.056,0.02
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.084,0.798,0.817,0.821
"P28","En blanco",0.026,0.07,0.127,0.023
"P28","No sabe",0.024,0.02,0,0.136
"P29","Lo votaría",0.899,0.046,0.108,0.031
"P29","Puede que lo vote",0.06,0.128,0.062,0.123
"P29","Nunca lo votaría",0.03,0.787,0.74,0.659
"P29","No sabe",0.011,0.039,0.09,0.187
"P30","Lo votaría",0.083,0.327,0.126,0.052
"P30","Puede que lo vote",0.066,0.341,0.161,0.24
"P30","Nunca lo votaría",0.776,0.22,0.555,0.54
"P30","No sabe",0.075,0.112,0.158,0.168
"P31","Lo votaría",0.07,0.15,0.074,0.007
"P31","Puede que lo vote",0.167,0.231,0.167,0.167
"P31","Nunca lo votaría",0.631,0.418,0.569,0.48
"P31","No sabe",0.132,0.201,0.19,0.346
"P32","Lo votaría",0.072,0.657,0.872,0.697
"P32","Puede que lo vote",0.06,0.157,0,0.157
"P32","Nunca lo votaría",0.799,0.16,0.096,0.059
"P32","No sabe",0.069,0.026,0.032,0.087
"P33","Lo votaría",0.067,0.087,0.099,0.058
"P33","Puede que lo vote",0.271,0.065,0.068,0.047
"P33","Nunca lo votaría",0.551,0.811,0.733,0.64
"P33","No sabe",0.111,0.037,0.1,0.255
"P34","Si",0.409,0.458,0.236,0.271
"P34","No",0.591,0.542,0.764,0.729
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.852,0.08,0.048,0.142
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.016,0.284,0.033,0.045
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.075,0.596,0.799,0.743
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0,0.008,0.014
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.033,0.067,0.011
"PRESIDENTE","En blanco",0.035,0.003,0.035,0
"PRESIDENTE","No sabe",0.008,0.004,0.01,0.045
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.81,0.147,0.091,0.145
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.024,0.211,0.024,0.047
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.078,0.187,0.019,0.212
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.054,0.329,0.602,0.266
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.004,0.032,0.051
"DIPUTADOS","En blanco",0.004,0.007,0.117,0.061
"DIPUTADOS","No sabe",0.022,0.115,0.115,0.218
