"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.897,0.858,0.737,0.786
"P06","Tiene dudas sobre si va a ir a  votar",0.074,0.1,0.263,0.03
"P06","Tiene Decidido que no va a ir a votar",0.029,0.042,0,0.184
"P07","Mucho",0.557,0.499,0.494,0.421
"P07","Bastante",0.305,0.247,0.244,0.246
"P07","Poco",0.086,0.152,0.094,0.149
"P07","Nada",0.041,0.077,0.168,0.184
"P07","No sabe",0.011,0.025,0,0
"P08","Siempre",0.215,0.286,0.475,0.11
"P08","Casi siempre",0.331,0.252,0.37,0.443
"P08","Casi nunca",0.346,0.262,0.109,0.25
"P08","Nunca, pero esta es una excepción",0.108,0.2,0.046,0.197
"P12","Unión por la Patria",0.76,0.09,0.307,0.169
"P12","Juntos por el Cambio",0.094,0.103,0.219,0.096
"P12","Juntos Somos Río Negro",0.066,0.125,0.137,0.129
"P12","Liberales",0.013,0.481,0.058,0.101
"P12","Izquierda",0.006,0.039,0,0.046
"P12","Otro",0.017,0.06,0.145,0.026
"P12","No sabe",0.044,0.102,0.134,0.433
"P13","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.871,0.038,0.095,0.487
"P13","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.045,0.065,0.265,0.129
"P13","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.048,0.063,0.169,0.118
"P13","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.016,0.82,0.097,0.13
"P13","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.01,0.006,0,0.004
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.003,0.29,0
"P13","En blanco",0.002,0.002,0.023,0.017
"P13","No sabe",0.006,0.003,0.061,0.115
"P17","Totalmente seguro",0.746,0.692,0.642,0.141
"P17","Bastante seguro",0.137,0.133,0.083,0.216
"P17","Algo seguro",0.055,0.129,0.031,0.253
"P17","Para nada seguro",0.062,0.046,0.244,0.39
"P18","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.21,0.066,1,0
"P18","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.029,0.617,0,0.014
"P18","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0.233,0,0
"P18","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0.777
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0
"P18","En blanco",0.761,0.047,0,0
"P18","No sabe",0,0.037,0,0.209
"P21","Sí",0.109,0.857,0.66,0.453
"P21","No",0.891,0.143,0.34,0.547
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",0.569,0.035,0.357,0.535
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.072,0.111,0.23,0.155
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.154,0.139,0.097,0
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.095,0.425,0.316,0.153
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.015,0.037,0,0.018
"P22","En blanco",0.012,0.062,0,0
"P22","No sabe",0.083,0.191,0,0.139
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.922,0.093,0.272,0.315
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.418,0.346,0.127
"P26","En blanco",0.014,0.209,0.308,0
"P26","No sabe",0.007,0.28,0.074,0.558
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.096,0.234,0.12
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.032,0.854,0.088,0.12
"P27","En blanco",0.562,0.016,0.604,0.118
"P27","No sabe",0.183,0.034,0.074,0.642
"P29","Lo votaría",0.917,0.037,0.386,0.321
"P29","Puede que lo vote",0.041,0.123,0.086,0.194
"P29","Nunca lo votaría",0.029,0.769,0.456,0.152
"P29","No sabe",0.013,0.071,0.072,0.333
"P30","Lo votaría",0.095,0.161,0.396,0.138
"P30","Puede que lo vote",0.041,0.312,0.154,0.038
"P30","Nunca lo votaría",0.796,0.379,0.388,0.639
"P30","No sabe",0.068,0.148,0.062,0.185
"P31","Lo votaría",0.05,0.087,0.324,0.068
"P31","Puede que lo vote",0.173,0.203,0.101,0.124
"P31","Nunca lo votaría",0.661,0.458,0.433,0.417
"P31","No sabe",0.116,0.252,0.142,0.391
"P32","Lo votaría",0.014,0.833,0.309,0.162
"P32","Puede que lo vote",0.066,0.109,0.024,0.261
"P32","Nunca lo votaría",0.859,0.027,0.559,0.284
"P32","No sabe",0.061,0.031,0.108,0.293
"P33","Lo votaría",0.074,0.061,0.185,0.097
"P33","Puede que lo vote",0.269,0.068,0.067,0.099
"P33","Nunca lo votaría",0.55,0.76,0.657,0.494
"P33","No sabe",0.107,0.111,0.091,0.31
"P34","Si",0.425,0.333,0.529,0.166
"P34","No",0.575,0.667,0.471,0.834
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.876,0.045,0.264,0.487
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.101,0.265,0.137
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.015,0.836,0.097,0.13
