"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Totalmente seguro",0.649,0.68,0.619,0.702,0.592,0.663,0.702,0.598,0.648,0.721,0.646,0.741,0.507,0.665,0.675,0.781,0.626,0.639,0.657,0.729,0.656,0.575,0.687,0.653,0.74,0.536,0.742
"Bastante seguro",0.122,0.113,0.131,0.103,0.139,0.138,0.079,0.102,0.125,0.143,0.132,0.118,0.085,0.091,0.16,0.084,0.164,0.111,0.142,0.04,0.096,0.135,0.109,0.123,0.117,0.144,0.105
"Algo seguro",0.106,0.094,0.118,0.073,0.137,0.099,0.087,0.129,0.103,0.081,0.089,0.09,0.229,0.125,0.088,0.058,0.194,0.109,0.101,0.132,0.127,0.08,0.082,0.116,0.08,0.153,0.108
"Para nada seguro",0.123,0.113,0.132,0.122,0.132,0.1,0.132,0.171,0.124,0.055,0.133,0.051,0.179,0.119,0.077,0.077,0.016,0.141,0.1,0.099,0.121,0.21,0.122,0.108,0.063,0.167,0.045
