"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P06","Tiene Decidido que va a ir a votar",0.868,0.876,0.851,0.888,0.974,0.668,0.48
"P06","Tiene dudas sobre si va a ir a  votar",0.099,0.059,0.128,0.079,0,0.316,0.248
"P06","Tiene Decidido que no va a ir a votar",0.033,0.065,0.021,0.033,0.026,0.016,0.272
"P07","Mucho",0.51,0.446,0.503,0.487,0.681,0.387,0.19
"P07","Bastante",0.307,0.317,0.235,0.232,0.127,0.169,0.15
"P07","Poco",0.08,0.122,0.115,0.186,0.076,0.141,0.213
"P07","Nada",0.08,0.086,0.068,0.086,0.093,0.303,0.189
"P07","No sabe",0.023,0.029,0.079,0.009,0.023,0,0.258
"P08","Siempre",0.188,0.226,0.174,0.224,0.437,0.446,0.112
"P08","Casi siempre",0.339,0.424,0.303,0.235,0.134,0.203,0.369
"P08","Casi nunca",0.306,0.236,0.38,0.303,0.283,0.265,0.398
"P08","Nunca, pero esta es una excepción",0.167,0.114,0.143,0.238,0.146,0.086,0.121
"P12","Unión por la Patria",0.721,0.021,0.154,0.082,0.099,0.159,0.065
"P12","Juntos por el Cambio",0.062,0.669,0.136,0.049,0.04,0.066,0.073
"P12","Juntos Somos Río Negro",0.049,0.089,0.449,0.122,0.084,0.006,0.042
"P12","Liberales",0.004,0.061,0.042,0.448,0.008,0.02,0
"P12","Izquierda",0.025,0.039,0.093,0.039,0.635,0.101,0
"P12","Otro",0.016,0.028,0.044,0.065,0.031,0.419,0.101
"P12","No sabe",0.123,0.093,0.082,0.195,0.103,0.229,0.719
"P17","Totalmente seguro",0.664,0.665,0.59,0.683,0.485,0.435,0.338
"P17","Bastante seguro",0.117,0.152,0.166,0.089,0.213,0.149,0.082
"P17","Algo seguro",0.089,0.082,0.049,0.159,0.074,0.107,0.073
"P17","Para nada seguro",0.13,0.101,0.195,0.069,0.228,0.309,0.507
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.075,0.5,0.095,0.753,0.055,0.178
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.04,0.808,0.203,0.348,0,0.395,0
"P26","En blanco",0.013,0.064,0.028,0.268,0.131,0.459,0.822
"P26","No sabe",0.051,0.053,0.269,0.289,0.116,0.091,0
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.163,0.645,0.568,0.026,0,0,0
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.223,0.268,0.875,0.301,0.07,0
"P27","En blanco",0.54,0.079,0.125,0.02,0,0.825,1
"P27","No sabe",0.214,0.053,0.039,0.079,0.699,0.105,0
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.901,0.318,0.355,0.018,0.563,0.067,0.247
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.038,0.431,0.448,0.953,0.321,0.091,0.288
"P28","En blanco",0.013,0.181,0.127,0.016,0,0.842,0.295
"P28","No sabe",0.048,0.07,0.07,0.013,0.116,0,0.17
"P29","Lo votaría",0.94,0.07,0.346,0.043,0.419,0.423,0
"P29","Puede que lo vote",0.027,0.187,0.199,0.11,0.337,0.065,0.294
"P29","Nunca lo votaría",0.004,0.673,0.374,0.775,0.018,0.512,0.361
"P29","No sabe",0.029,0.07,0.081,0.072,0.226,0,0.345
"P30","Lo votaría",0.071,0.658,0.373,0.077,0,0.731,0
"P30","Puede que lo vote",0.021,0.058,0.219,0.344,0.377,0,0
"P30","Nunca lo votaría",0.833,0.255,0.35,0.418,0.218,0.269,0.646
"P30","No sabe",0.075,0.029,0.058,0.161,0.405,0,0.354
"P31","Lo votaría",0.04,0.148,0.29,0.058,0.259,0.726,0
"P31","Puede que lo vote",0.143,0.194,0.319,0.199,0.521,0,0
"P31","Nunca lo votaría",0.674,0.527,0.241,0.481,0.22,0.274,0.643
"P31","No sabe",0.143,0.131,0.15,0.262,0,0,0.357
"P32","Lo votaría",0.014,0.193,0.207,0.887,0.388,0.884,0.337
"P32","Puede que lo vote",0.047,0.282,0.418,0.057,0,0,0
"P32","Nunca lo votaría",0.863,0.423,0.339,0.024,0.612,0.116,0.306
"P32","No sabe",0.076,0.102,0.036,0.032,0,0,0.357
"P33","Lo votaría",0.061,0.118,0.02,0.058,0.886,0.796,0
"P33","Puede que lo vote",0.241,0.167,0.244,0.07,0,0.119,0
"P33","Nunca lo votaría",0.579,0.626,0.536,0.767,0.114,0.085,0.643
"P33","No sabe",0.119,0.089,0.2,0.105,0,0,0.357
"P34","Si",0.412,0.446,0.379,0.323,0,0.922,0
"P34","No",0.588,0.554,0.621,0.677,1,0.078,1
