"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.488,0.433,0.541,0.517,0.416,0.51,0.608,0.359,0.524,0.62,0.734,0.195,0.466,0.481,0.261,0.878,0.431,0.473,0.458,0.662,0.577,0.454,0.824,0.826,0.151,0.174,0.077
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.227,0.256,0.198,0.156,0.256,0.26,0.237,0.211,0.259,0.19,0.097,0.456,0.238,0.217,0.419,0.026,0.235,0.244,0.236,0.23,0.18,0.178,0.033,0.11,0.722,0.547,0.352
"En blanco",0.128,0.161,0.097,0.131,0.165,0.078,0.094,0.224,0.063,0.102,0.055,0.133,0.263,0.16,0.091,0.031,0.317,0.126,0.15,0.017,0.103,0.136,0.022,0.016,0.062,0.242,0.285
"No sabe",0.157,0.15,0.164,0.196,0.163,0.152,0.061,0.206,0.154,0.088,0.114,0.216,0.033,0.142,0.229,0.065,0.017,0.157,0.156,0.091,0.14,0.232,0.121,0.048,0.065,0.037,0.286
