"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P13_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.838,0.08,0.048,0.147
"P13_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.01,0.239,0.033,0.023
"P13_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.061,0.054,0.013,0.102
"P13_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.076,0.594,0.809,0.712
"P13_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.012,0,0.008,0.005
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.033,0.067,0.011
"P13_imputada","En blanco",0.001,0,0.022,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.858,0.085,0.048,0.163
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.017,0.284,0.033,0.06
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.076,0.596,0.809,0.747
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0,0.008,0.019
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.032,0.067,0.011
"PRESIDENTE_imputada","En blanco",0.035,0.003,0.035,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.813,0.15,0.13,0.166
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.026,0.271,0.024,0.052
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.078,0.196,0.034,0.211
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.07,0.355,0.663,0.45
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0.004,0.032,0.06
"DIPUTADOS_imputada","En blanco",0.004,0.024,0.117,0.061
