"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco"
"P06","Tiene Decidido que va a ir a votar",0.867,0.939,0.877,0.898,0.963,0.793
"P06","Tiene dudas sobre si va a ir a  votar",0.09,0.061,0.107,0.062,0,0.066
"P06","Tiene Decidido que no va a ir a votar",0.043,0,0.016,0.04,0.037,0.141
"P07","Mucho",0.512,0.545,0.543,0.57,0.375,0.423
"P07","Bastante",0.268,0.253,0.258,0.242,0.179,0.285
"P07","Poco",0.115,0.15,0.091,0.121,0,0.189
"P07","Nada",0.083,0.048,0.051,0.067,0.392,0.103
"P07","No sabe",0.022,0.004,0.057,0,0.054,0
"P08","Siempre",0.205,0.215,0.264,0.292,0.14,0.269
"P08","Casi siempre",0.352,0.318,0.287,0.282,0.202,0.113
"P08","Casi nunca",0.277,0.361,0.318,0.261,0.212,0.296
"P08","Nunca, pero esta es una excepción",0.166,0.106,0.131,0.165,0.446,0.322
"P12","Unión por la Patria",0.738,0.072,0.163,0.121,0.103,0.168
"P12","Juntos por el Cambio",0.072,0.43,0.096,0.031,0.107,0
"P12","Juntos Somos Río Negro",0.041,0.106,0.422,0.065,0.483,0
"P12","Liberales",0.02,0.249,0.13,0.519,0.199,0.438
"P12","Izquierda",0.015,0.092,0.081,0.02,0.033,0.03
"P12","Otro",0.023,0.009,0.034,0.06,0.037,0.243
"P12","No sabe",0.091,0.042,0.074,0.184,0.038,0.121
"P13_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.933,0.004,0.047,0.01,0.036,0
"P13_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.009,0.58,0.014,0.025,0,0.017
"P13_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,0.724,0,0,0
"P13_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.042,0.395,0.215,0.939,0.592,0.834
