"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","NA","NA"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.347,0.312,0.381,0.356,0.343,0.332,0.367,0.312,0.347,0.396,0.654,0.112,0.307,0.353,0.159,0.786,0.261,0.325,0.318,0.383,0.507,0.352,0.785,0.69,0.027,0.122,0.066,0.133,0.297
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.231,0.227,0.167,0.169,0.318,0.382,0.183,0.221,0.308,0.08,0.459,0.216,0.18,0.471,0.069,0.052,0.245,0.21,0.291,0.262,0.207,0.04,0.165,0.809,0.491,0.097,0.173,0.094
"Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.331,0.383,0.28,0.358,0.398,0.28,0.165,0.398,0.344,0.215,0.179,0.39,0.347,0.377,0.347,0.077,0.635,0.295,0.385,0.296,0.197,0.319,0.122,0.077,0.146,0.299,0.797,0.484,0.223
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.037,0.02,0.032,0.032,0.018,0.022,0.034,0.024,0.027,0.025,0.016,0.007,0.017,0.002,0.033,0.042,0.064,0.024,0.004,0,0.005,0.011,0.062,0.005,0.004,0.003,0.029,0.142
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.023,0.008,0.037,0.019,0.033,0.019,0.003,0.027,0.015,0.03,0.005,0.007,0.071,0.007,0.011,0.001,0.01,0.02,0.023,0.026,0.002,0.047,0.006,0.006,0.008,0.011,0.019,0.026,0.121
"En blanco",0.042,0.029,0.055,0.068,0.025,0.033,0.061,0.046,0.049,0.024,0.057,0.016,0.052,0.066,0.01,0.034,0,0.051,0.04,0,0.032,0.07,0.036,0,0.005,0.073,0.018,0.155,0.123
