"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.891,0.816,0.609,1,1,0.899,0.62
"P06","Tiene dudas sobre si va a ir a  votar",0.109,0.184,0.391,0,0,0.032,0
"P06","Tiene Decidido que no va a ir a votar",0,0,0,0,0,0.069,0.38
"P07","Mucho",0.666,0.449,0.216,0.723,0.8,0.489,0.476
"P07","Bastante",0.231,0.217,0.312,0,0.2,0.282,0.144
"P07","Poco",0.103,0.21,0,0.277,0,0.134,0
"P07","Nada",0,0,0.125,0,0,0.095,0
"P07","No sabe",0,0.124,0.347,0,0,0,0.38
"P08","Siempre",0.402,0.239,0.122,0,0.153,0.165,0.043
"P08","Casi siempre",0.205,0.527,0.097,0.39,0.847,0.194,0.306
"P08","Casi nunca",0.211,0.161,0.602,0.61,0,0.472,0
"P08","Nunca, pero esta es una excepción",0.182,0.073,0.179,0,0,0.169,0.651
"P12","Unión por la Patria",0.278,0.074,0,0.113,0,0.328,0
"P12","Juntos por el Cambio",0,0.408,0,0.277,0.647,0.111,0
"P12","Juntos Somos Río Negro",0.566,0.455,0.365,0,0.353,0.402,0.577
"P12","Liberales",0.082,0.063,0.082,0,0,0,0
"P12","Izquierda",0.029,0,0.061,0.61,0,0.037,0
"P12","Otro",0,0,0.434,0,0,0,0
"P12","No sabe",0.045,0,0.058,0,0,0.122,0.423
"P17","Totalmente seguro",0.749,0.588,0.595,0,0.2,0.784,0
"P17","Bastante seguro",0.199,0.207,0.348,0.113,0.8,0.036,0
"P17","Algo seguro",0.009,0.068,0.014,0.277,0,0.017,0.144
"P17","Para nada seguro",0.043,0.137,0.043,0.61,0,0.163,0.856
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.905,0.153,0,0,0,0.827,0
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.634,0.021,0,0,0.048,0.378
"P26","En blanco",0,0,0,0,0,0.125,0
"P26","No sabe",0.095,0.213,0.979,1,0,0,0.622
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.394,0.758,0,0,0,0.648,0
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.515,0.242,1,0,0,0.074,0
"P27","En blanco",0.091,0,0,0.735,0,0.24,0.565
"P27","No sabe",0,0,0,0.265,0,0.038,0.435
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.327,0.045,0,0,0,0.943,0
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.103,0.95,1,0,0,0.057,0.435
"P28","En blanco",0.57,0,0,0,0,0,0
"P28","No sabe",0,0.005,0,1,0,0,0.565
"P29","Lo votaría",0.48,0.044,0,0,0,0.525,0.565
"P29","Puede que lo vote",0,0.311,0,0,0,0.434,0
"P29","Nunca lo votaría",0.098,0.645,1,0,0,0.041,0.435
"P29","No sabe",0.422,0,0,1,0,0,0
"P30","Lo votaría",0.068,0.832,0.935,0,0,0.035,0
"P30","Puede que lo vote",0.397,0,0.065,0,0,0.402,0.416
"P30","Nunca lo votaría",0.535,0.168,0,1,0,0.387,0.584
"P30","No sabe",0,0,0,0,0,0.176,0
"P31","Lo votaría",0.297,0.601,0,0,0,0.302,0.416
"P31","Puede que lo vote",0.153,0.231,0,0,0,0.522,0
"P31","Nunca lo votaría",0.196,0,0.935,0.246,0,0.176,0.584
"P31","No sabe",0.354,0.168,0.065,0.754,0,0,0
"P32","Lo votaría",0.467,0.232,0,0,0,0.035,0
"P32","Puede que lo vote",0.089,0.451,1,0,0,0.483,0.416
"P32","Nunca lo votaría",0.444,0.317,0,0,0,0.482,0.584
"P32","No sabe",0,0,0,1,0,0,0
"P33","Lo votaría",0,0.033,0,0,0,0.092,0
"P33","Puede que lo vote",0.444,0,0,1,0,0.636,0
"P33","Nunca lo votaría",0.556,0.967,0,0,0,0.097,0.416
"P33","No sabe",0,0,1,0,0,0.175,0.584
"P34","Si",0.497,0.522,0,0.72,0,0.354,0
"P34","No",0.503,0.478,1,0.28,0,0.646,1
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",1,0,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0,0,0,0
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0,0,1,0,0,0,0
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0,0,0,1
