"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.159,0.165,0.154,0.117,0.167,0.122,0.289,0.15,0.143,0.204,0.149,0.217,0.256,0.156,0.22,0.168,0.035,0.174,0.156,0.204,0.098,0.168,0.134,0.158,0.47,0.145,0.102
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.415,0.425,0.405,0.442,0.482,0.379,0.203,0.425,0.466,0.304,0.227,0.633,0.324,0.439,0.534,0.106,0.754,0.405,0.437,0.354,0.347,0.441,0.224,0.125,0.436,0.555,0.766
"En blanco",0.285,0.279,0.29,0.254,0.251,0.36,0.335,0.264,0.255,0.372,0.424,0.073,0.395,0.261,0.152,0.486,0.041,0.255,0.245,0.305,0.532,0.292,0.441,0.516,0.01,0.241,0.052
"No sabe",0.141,0.131,0.151,0.187,0.1,0.139,0.173,0.161,0.136,0.12,0.2,0.077,0.025,0.144,0.094,0.24,0.17,0.166,0.162,0.137,0.023,0.099,0.201,0.201,0.084,0.059,0.08
