"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P06","Tiene Decidido que va a ir a votar",0.864,0.87,0.88,0.975,0.672,0.743
"P06","Tiene dudas sobre si va a ir a  votar",0.104,0.07,0.087,0,0.313,0.116
"P06","Tiene Decidido que no va a ir a votar",0.032,0.06,0.033,0.025,0.015,0.141
"P07","Mucho",0.509,0.45,0.479,0.685,0.396,0.406
"P07","Bastante",0.309,0.307,0.231,0.12,0.167,0.195
"P07","Poco",0.083,0.129,0.18,0.084,0.135,0.163
"P07","Nada",0.077,0.079,0.091,0.089,0.302,0.122
"P07","No sabe",0.022,0.035,0.019,0.022,0,0.114
"P08","Siempre",0.191,0.222,0.221,0.421,0.449,0.159
"P08","Casi siempre",0.337,0.434,0.232,0.145,0.213,0.236
"P08","Casi nunca",0.304,0.234,0.307,0.295,0.255,0.438
"P08","Nunca, pero esta es una excepción",0.168,0.11,0.24,0.139,0.083,0.167
"P12","Unión por la Patria",0.693,0.024,0.08,0.101,0.159,0.212
"P12","Juntos por el Cambio",0.058,0.636,0.047,0.05,0.074,0.105
"P12","Juntos Somos Río Negro",0.079,0.131,0.133,0.08,0.016,0.271
"P12","Liberales",0.006,0.064,0.435,0.007,0.019,0
"P12","Izquierda",0.029,0.036,0.038,0.634,0.098,0.017
"P12","Otro",0.015,0.025,0.076,0.03,0.41,0.036
"P12","No sabe",0.12,0.084,0.191,0.098,0.224,0.359
"P13_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.946,0,0,0,0,0
"P13_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,0.899,0,0,0,0
"P13_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.054,0.101,0.033,0.046,0.02,0.644
"P13_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0.967,0,0,0
"P13_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0.954,0,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.98,0
"P13_imputada","En blanco",0,0,0,0,0,0.356
"P17","Totalmente seguro",0.66,0.649,0.681,0.463,0.431,0.562
"P17","Bastante seguro",0.123,0.156,0.096,0.214,0.159,0.046
"P17","Algo seguro",0.086,0.085,0.155,0.081,0.106,0.033
"P17","Para nada seguro",0.131,0.11,0.068,0.242,0.304,0.359
"P18","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.972,0,0,0,0,0
"P18","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.853,0,0,0,0
"P18","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0,0,0
"P18","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,1,0,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,1,0
"P18","En blanco",0,0,0,0,0,0.924
"P18","No sabe",0.028,0.147,0,0,0,0.076
"P21","Sí",0.101,0.702,0.86,0.361,0.885,0
"P21","No",0.899,0.298,0.14,0.639,0.115,1
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",0.682,0.066,0.044,0,0.481,0
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.006,0.605,0.08,0.683,0,0
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.225,0.051,0.127,0,0,0
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.026,0.14,0.448,0,0.475,0
