"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","NA","NA"
"Martín Soria a Diputado Nacional por Unión por la Patria",0.421,0.413,0.429,0.448,0.353,0.436,0.552,0.414,0.387,0.496,0.625,0.177,0.458,0.336,0.261,0.789,0.297,0.437,0.353,0.584,0.56,0.46,0.716,0.764,0.094,0.18,0.102,0.332,0.334
"Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.087,0.109,0.064,0.059,0.08,0.101,0.143,0.043,0.121,0.089,0.041,0.162,0.083,0.053,0.215,0.026,0,0.114,0.093,0.085,0.061,0.014,0.02,0.07,0.381,0.196,0.096,0,0.051
"Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.196,0.153,0.24,0.21,0.22,0.17,0.137,0.181,0.212,0.191,0.176,0.253,0.193,0.347,0.114,0.121,0.026,0.149,0.233,0.065,0.172,0.257,0.154,0.063,0.263,0.42,0.212,0.161,0.341
"Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.248,0.285,0.21,0.215,0.295,0.268,0.137,0.31,0.234,0.18,0.122,0.354,0.154,0.231,0.316,0.057,0.65,0.234,0.26,0.266,0.185,0.269,0.102,0.075,0.245,0.2,0.496,0.294,0.208
"Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.016,0.01,0.023,0.024,0.009,0.021,0.015,0.028,0.008,0.013,0.009,0.025,0.004,0.024,0.012,0.006,0.027,0.04,0.012,0,0.008,0,0.003,0.019,0.017,0,0.03,0,0.03
"En blanco",0.032,0.03,0.034,0.044,0.043,0.004,0.016,0.024,0.038,0.031,0.027,0.029,0.108,0.009,0.082,0.001,0,0.026,0.049,0,0.014,0,0.005,0.009,0,0.004,0.064,0.213,0.036
