"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.744,0.91,0.894,0.923,1,0.712,0.944
"P06","Tiene dudas sobre si va a ir a  votar",0.122,0.09,0.106,0.068,0,0.083,0.047
"P06","Tiene Decidido que no va a ir a votar",0.134,0,0,0.009,0,0.205,0.009
"P07","Mucho",0.382,0.62,0.718,0.564,0.365,0.507,0.44
"P07","Bastante",0.166,0.206,0.229,0.309,0.116,0.148,0.359
"P07","Poco",0.201,0.149,0.033,0.092,0,0.254,0.201
"P07","Nada",0.251,0.018,0.02,0.035,0.519,0.091,0
"P07","No sabe",0,0.007,0,0,0,0,0
"P08","Siempre",0.281,0.282,0.477,0.335,0.078,0.286,0.257
"P08","Casi siempre",0.282,0.279,0.231,0.321,0.147,0.049,0.256
"P08","Casi nunca",0.185,0.372,0.139,0.231,0.256,0.298,0.323
"P08","Nunca, pero esta es una excepción",0.252,0.067,0.153,0.113,0.519,0.367,0.164
"P12","Unión por la Patria",0.371,0.032,0.189,0.094,0.031,0.204,0.045
"P12","Juntos por el Cambio",0.117,0.416,0.026,0.03,0.019,0,0.093
"P12","Juntos Somos Río Negro",0.086,0.137,0.318,0.082,0.579,0,0.011
"P12","Liberales",0.141,0.214,0.378,0.596,0.352,0.469,0.552
"P12","Izquierda",0.024,0.136,0.036,0.025,0.019,0.037,0.01
"P12","Otro",0.12,0.022,0.014,0.017,0,0.196,0.07
"P12","No sabe",0.141,0.043,0.039,0.156,0,0.094,0.219
"P17","Totalmente seguro",0.694,0.699,0.831,0.728,0.884,0.751,0.855
"P17","Bastante seguro",0.019,0.068,0.016,0.151,0.116,0.045,0.119
"P17","Algo seguro",0.018,0.194,0.135,0.11,0,0.204,0.026
"P17","Para nada seguro",0.269,0.039,0.018,0.011,0,0,0
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.441,0.159,0.163,0.021,0.054,0.016,0.094
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.271,0.747,0.538,0.398,0.108,0.096,0.362
"P26","En blanco",0.091,0.025,0.011,0.404,0.233,0.482,0.152
"P26","No sabe",0.197,0.069,0.288,0.177,0.605,0.406,0.392
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.283,0.367,0.078,0.034,0,0.013,0.089
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.584,0.778,0.806,0.307,0.977,0.88
"P27","En blanco",0.382,0,0.047,0.086,0.028,0.01,0
"P27","No sabe",0.266,0.049,0.097,0.074,0.665,0,0.031
