"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.861,0.942,0.866,0.886,1,0.766,0.941
"P06","Tiene dudas sobre si va a ir a  votar",0.094,0.058,0.117,0.062,0,0.071,0.052
"P06","Tiene Decidido que no va a ir a votar",0.045,0,0.017,0.052,0,0.163,0.007
"P07","Mucho",0.519,0.611,0.548,0.581,0.362,0.463,0.386
"P07","Bastante",0.266,0.171,0.256,0.249,0.148,0.211,0.359
"P07","Poco",0.106,0.155,0.099,0.102,0,0.216,0.215
"P07","Nada",0.086,0.058,0.044,0.068,0.434,0.11,0.04
"P07","No sabe",0.023,0.005,0.053,0,0.056,0,0
"P08","Siempre",0.209,0.246,0.288,0.286,0.108,0.23,0.241
"P08","Casi siempre",0.351,0.328,0.289,0.297,0.172,0.123,0.248
"P08","Casi nunca",0.279,0.34,0.281,0.245,0.231,0.325,0.321
"P08","Nunca, pero esta es una excepción",0.161,0.086,0.142,0.172,0.489,0.322,0.19
"P12","Unión por la Patria",0.751,0.086,0.176,0.143,0.107,0.193,0.032
"P12","Juntos por el Cambio",0.074,0.425,0.105,0.039,0.112,0,0.081
"P12","Juntos Somos Río Negro",0.041,0.121,0.453,0.08,0.529,0,0.007
"P12","Liberales",0.02,0.215,0.129,0.499,0.219,0.373,0.505
"P12","Izquierda",0.016,0.112,0.041,0.021,0.033,0.032,0.006
"P12","Otro",0.023,0.011,0.038,0.055,0,0.272,0.059
"P12","No sabe",0.075,0.03,0.058,0.163,0,0.13,0.31
"P13","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.944,0.004,0.044,0.002,0.036,0,0.027
"P13","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.009,0.612,0.014,0.03,0,0.018,0.062
"P13","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,0.719,0,0,0,0
"P13","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.031,0.358,0.216,0.934,0.653,0.819,0.769
"P13","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.026,0,0,0.311,0,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0,0,0.034,0,0.06,0.007
"P13","En blanco",0,0,0,0,0,0.103,0
"P13","No sabe",0,0,0.007,0,0,0,0.135
"P17","Totalmente seguro",0.731,0.599,0.677,0.68,0.774,0.652,0.793
"P17","Bastante seguro",0.123,0.118,0.113,0.152,0.149,0.125,0.103
"P17","Algo seguro",0.05,0.173,0.082,0.153,0,0.193,0.071
"P17","Para nada seguro",0.096,0.11,0.128,0.015,0.077,0.03,0.033
"P21","Sí",0.121,0.727,1,0.761,0.748,0.833,0.87
"P21","No",0.879,0.273,0,0.239,0.252,0.167,0.13
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,1,0,0,0,0,0
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,1,0,0,0,0
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0,1,0,0,0
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"P22","En blanco",0,0,0,0,0,1,0
"P22","No sabe",0,0,0,0,0,0,1
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.854,0.169,0.327,0.119,0.241,0.071,0.123
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.682,0.366,0.339,0.049,0.056,0.304
