"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.943,0.866,0.65,0.795,0.629,0.87,0.865,0.462
"Puede ser",0.036,0.115,0.132,0.093,0.258,0.069,0.12,0.114
"No",0.021,0.019,0.218,0.112,0.113,0.061,0.015,0.424
