"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.391,0.275,0.175,0,0.108,0.092
"P09","Diego Santilli",0.258,0.293,0.388,0.215,0.383,0.022
"P09","Facundo Manes",0.122,0.123,0.155,0.513,0.216,0.301
"P09","Florencio Randazzo",0.023,0.02,0.06,0,0.088,0.266
"P09","A los candidatos de la izquierda",0.032,0.012,0.04,0.218,0,0.019
"P09","Jose Luis Espert",0.061,0.17,0.061,0.02,0,0
"P09","Otros candidatos",0.031,0.034,0.004,0,0.033,0.268
"P09","Votaría en blanco o anularía",0.082,0.073,0.117,0.034,0.172,0.032
