"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"1-Excelente",0.182,0.198,0.164,0.311,0.132,0.124,0.131,0.301,0.137,0.114,0.23,0.109,0.176,0.23,0.278,0.137,0.214,0.153
"2",0.122,0.109,0.136,0.113,0.105,0.183,0.1,0.095,0.168,0.078,0.122,0.201,0.125,0.034,0.129,0.134,0.113,0.13
"3",0.08,0.08,0.08,0.08,0.069,0.093,0.1,0.083,0.082,0.075,0.078,0.097,0.086,0.119,0.071,0.087,0.075,0.084
"4",0.077,0.085,0.069,0.071,0.083,0.066,0.094,0.042,0.09,0.097,0.069,0.098,0.079,0.098,0.09,0.074,0.076,0.079
"5",0.153,0.18,0.125,0.107,0.167,0.189,0.156,0.091,0.175,0.191,0.147,0.111,0.235,0.2,0.124,0.179,0.122,0.181
"6",0.056,0.064,0.046,0.014,0.063,0.074,0.102,0.06,0.04,0.075,0.061,0.042,0.034,0.038,0.035,0.07,0.049,0.061
"7",0.045,0.036,0.055,0.057,0.034,0.033,0.079,0.036,0.038,0.067,0.054,0.019,0.014,0.001,0.033,0.032,0.049,0.042
"8",0.037,0.034,0.039,0.033,0.039,0.029,0.053,0.029,0.028,0.061,0.038,0.052,0.025,0.011,0.03,0.038,0.05,0.025
"9-Pésimo",0.17,0.157,0.184,0.133,0.236,0.126,0.098,0.173,0.154,0.194,0.163,0.17,0.104,0.189,0.162,0.155,0.16,0.179
"No sabe",0.078,0.057,0.102,0.081,0.072,0.083,0.087,0.09,0.088,0.048,0.038,0.101,0.122,0.08,0.048,0.094,0.092,0.066
