"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P08","Empleado sector publico",0.324,0.21,0.253,0.248,0.334,0.119,0.417,0,0,0.572
"P08","Empleado sector privado",0.294,0.344,0.25,0.308,0.178,0.233,0.408,0,0,0.428
"P08","Changas o trabajos eventuales",0.214,0.224,0.195,0.098,0.228,0.443,0.066,0,0.884,0
"P08","Estudiante",0.016,0,0.088,0.063,0.042,0,0,1,0,0
"P08","Amas de casa",0.029,0.047,0.083,0.072,0.078,0.112,0,0,0,0
"P08","Profesional o independiente",0.052,0.048,0.054,0.066,0.032,0.021,0,0,0,0
"P08","Comerciante, emprendedor o empresario",0.026,0.079,0.017,0.073,0.088,0,0,0,0,0
"P08","Trabajador informal",0.006,0.004,0.002,0.006,0.013,0,0.109,0,0,0
"P08","No tengo trabajo",0.039,0.044,0.058,0.066,0.007,0.072,0,0,0.116,0
"P09","Siempre",0.293,0.202,0.201,0.15,0.131,0.313,0.103,0,0,0.056
"P09","Casi siempre",0.304,0.398,0.365,0.37,0.378,0.241,0.704,0,0.884,0.151
"P09","Casi nunca",0.286,0.302,0.356,0.303,0.288,0.398,0.193,1,0,0.372
"P09","Nunca, pero esta es una excepción",0.117,0.098,0.078,0.177,0.203,0.048,0,0,0.116,0.421
"P10","Muy buena",0.264,0.108,0.208,0.119,0.131,0,0.046,0,0.884,0.477
"P10","Buena",0.131,0.373,0.214,0.197,0.169,0.113,0.362,0,0,0.079
"P10","Ni buena ni mala",0.34,0.265,0.396,0.366,0.529,0.475,0.442,0,0,0.444
"P10","Mala",0.172,0.158,0.116,0.178,0.038,0.144,0.066,0,0.116,0
"P10","Muy mala",0.09,0.049,0.062,0.041,0.052,0.247,0.084,1,0,0
"P10","No sabe",0.003,0.047,0.004,0.099,0.081,0.021,0,0,0,0
"P11","Muy buena",0.274,0.203,0.222,0.107,0.101,0.113,0.046,0,0,0.477
"P11","Buena",0.204,0.312,0.214,0.334,0.335,0.102,0.431,0,0,0.151
"P11","Ni buena ni mala",0.253,0.26,0.388,0.293,0.448,0.363,0.372,0,0,0.372
"P11","Mala",0.179,0.12,0.107,0.121,0.02,0.401,0.067,0,1,0
"P11","Muy mala",0.084,0.058,0.048,0.063,0.056,0.021,0.084,1,0,0
"P11","No sabe",0.006,0.047,0.021,0.082,0.04,0,0,0,0,0
"P13","Muy buena",0.268,0.172,0.24,0.095,0.089,0.113,0.046,0,0,0.477
"P13","Buena",0.202,0.321,0.231,0.263,0.328,0.114,0.465,0,0,0.151
"P13","Ni buena ni mala",0.237,0.275,0.338,0.4,0.457,0.305,0.338,0,0.884,0.372
"P13","Mala",0.167,0.135,0.123,0.116,0.046,0.236,0.067,0,0.116,0
"P13","Muy mala",0.122,0.054,0.061,0.046,0.056,0.232,0.084,1,0,0
"P13","No sabe",0.004,0.043,0.007,0.08,0.024,0,0,0,0,0
"P14","Muy buena",0.222,0.061,0.103,0.047,0.126,0.048,0,0,0,0.056
"P14","Buena",0.136,0.229,0.159,0.211,0.103,0.041,0.362,0,0,0.493
"P14","Ni buena ni mala",0.254,0.215,0.243,0.282,0.361,0.15,0.263,0,0,0.372
"P14","Mala",0.225,0.335,0.287,0.151,0.302,0.27,0.182,0,1,0.079
"P14","Muy mala",0.159,0.109,0.168,0.203,0.084,0.491,0.193,1,0,0
"P14","No sabe",0.004,0.051,0.04,0.106,0.024,0,0,0,0,0
"P15","Muy buena",0.218,0.085,0.101,0.075,0.143,0.048,0.046,0,0,0.421
"P15","Buena",0.105,0.223,0.166,0.169,0.108,0.128,0.534,0,0,0.207
"P15","Ni buena ni mala",0.302,0.337,0.371,0.394,0.382,0.105,0.091,0,0,0.372
"P15","Mala",0.211,0.144,0.214,0.091,0.248,0.237,0.136,0,1,0
"P15","Muy mala",0.147,0.123,0.113,0.184,0.059,0.482,0.193,1,0,0
"P15","No sabe",0.017,0.088,0.035,0.087,0.06,0,0,0,0,0
"P16","Muy buena",0.254,0.069,0.113,0.112,0.243,0.08,0,0,0.884,0
"P16","Buena",0.1,0.281,0.278,0.134,0.086,0.057,0.533,0,0,0.493
"P16","Ni buena ni mala",0.233,0.256,0.214,0.333,0.305,0.079,0.032,0,0,0.372
"P16","Mala",0.215,0.199,0.201,0.161,0.28,0.25,0.195,0,0.116,0.079
"P16","Muy mala",0.19,0.104,0.138,0.146,0.062,0.512,0.24,1,0,0.056
"P16","No sabe",0.008,0.091,0.056,0.114,0.024,0.022,0,0,0,0
"P17","Muy buena",0.246,0.122,0.148,0.103,0.076,0.048,0.037,0,0,0
"P17","Buena",0.11,0.22,0.261,0.248,0.128,0.056,0.496,0,0,0.493
"P17","Ni buena ni mala",0.149,0.107,0.23,0.208,0.279,0.114,0.304,0,0,0.372
