"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno anterior de Alberto Fernández",0.471,0.409,0.533,0.636,0.3,0.529,0.519,0.536,0.467,0.397,0.489,0.597,0.113,0.779,0.386,0.533,0.41,0.521
"El actual gobierno de Javier Milei",0.425,0.486,0.364,0.335,0.554,0.37,0.313,0.289,0.451,0.548,0.423,0.352,0.62,0.221,0.539,0.384,0.454,0.401
"No sabe",0.104,0.105,0.103,0.029,0.146,0.101,0.168,0.175,0.082,0.055,0.088,0.051,0.267,0,0.075,0.083,0.136,0.078
