"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Si",0.676,0.707,0.644,0.68,0.668,0.711,0.629,0.626,0.653,0.776,0.742,0.513,0.719,0.681,0.64,0.708,0.698,0.657
"No",0.324,0.293,0.356,0.32,0.332,0.289,0.371,0.374,0.347,0.224,0.258,0.487,0.281,0.319,0.36,0.292,0.302,0.343
