"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P09","Siempre",0.34,0.129,0.214,0.098,0.154,0.136,0.157,0.127,0.249
"P09","Casi siempre",0.31,0.388,0.276,0.192,0.365,0.389,0.278,0.299,0.334
"P09","Casi nunca",0.264,0.342,0.339,0.317,0.262,0.368,0.362,0.388,0.265
"P09","Nunca, pero esta es una excepción",0.086,0.141,0.171,0.393,0.219,0.107,0.203,0.186,0.152
"P10","Muy buena",0.264,0.135,0.208,0.079,0.085,0.119,0.111,0.095,0.104
"P10","Buena",0.211,0.232,0.169,0.158,0.247,0.265,0.157,0.212,0.184
"P10","Ni buena ni mala",0.34,0.416,0.381,0.322,0.42,0.365,0.368,0.529,0.373
"P10","Mala",0.119,0.131,0.136,0.305,0.133,0.134,0.178,0.058,0.147
"P10","Muy mala",0.06,0.06,0.068,0.114,0.034,0.086,0.086,0.106,0.13
"P10","No sabe",0.006,0.026,0.038,0.022,0.081,0.031,0.1,0,0.062
"P11","Muy buena",0.312,0.158,0.205,0.129,0.114,0.127,0.16,0.139,0.15
"P11","Buena",0.277,0.33,0.229,0.189,0.297,0.287,0.168,0.369,0.203
"P11","Ni buena ni mala",0.234,0.346,0.325,0.319,0.4,0.373,0.399,0.32,0.347
"P11","Mala",0.097,0.104,0.115,0.266,0.083,0.124,0.116,0.054,0.186
"P11","Muy mala",0.073,0.039,0.076,0.043,0.013,0.055,0.061,0.095,0.033
"P11","No sabe",0.007,0.023,0.05,0.054,0.093,0.034,0.096,0.023,0.081
"P13","Muy buena",0.326,0.153,0.211,0.073,0.106,0.137,0.14,0.058,0.167
"P13","Buena",0.245,0.321,0.204,0.261,0.27,0.289,0.221,0.4,0.205
"P13","Ni buena ni mala",0.232,0.337,0.343,0.278,0.399,0.332,0.356,0.387,0.344
"P13","Mala",0.123,0.114,0.122,0.29,0.096,0.155,0.095,0.035,0.129
"P13","Muy mala",0.056,0.063,0.077,0.044,0.036,0.068,0.098,0.095,0.073
"P13","No sabe",0.018,0.012,0.043,0.054,0.093,0.019,0.09,0.025,0.082
"P14","Muy buena",0.279,0.084,0.14,0.133,0.138,0.113,0.057,0.061,0.152
"P14","Buena",0.197,0.264,0.201,0.029,0.185,0.268,0.15,0.46,0.203
"P14","Ni buena ni mala",0.208,0.307,0.312,0.281,0.307,0.214,0.279,0.229,0.284
"P14","Mala",0.157,0.201,0.186,0.208,0.204,0.259,0.269,0.066,0.154
"P14","Muy mala",0.116,0.105,0.109,0.213,0.053,0.121,0.124,0.157,0.156
"P14","No sabe",0.043,0.039,0.052,0.136,0.113,0.025,0.121,0.027,0.051
"P15","Muy buena",0.284,0.082,0.138,0.058,0.165,0.088,0.056,0.205,0.139
"P15","Buena",0.175,0.267,0.169,0.189,0.098,0.249,0.113,0,0.194
