"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"1-Excelente",0.179,0.199,0.157,0.31,0.145,0.083,0.143,0.316,0.114,0.123,0.214,0.163,0.101,0.228,0.259,0.151,0.228,0.134
"2",0.132,0.104,0.162,0.167,0.095,0.155,0.143,0.089,0.201,0.071,0.121,0.186,0.157,0.081,0.13,0.15,0.131,0.134
"3",0.058,0.052,0.064,0.044,0.036,0.115,0.071,0.033,0.075,0.059,0.068,0.05,0.073,0.011,0.051,0.058,0.055,0.06
"4",0.078,0.097,0.057,0.045,0.096,0.085,0.076,0.063,0.082,0.087,0.072,0.066,0.087,0.061,0.099,0.072,0.062,0.092
"5",0.164,0.183,0.143,0.112,0.185,0.183,0.185,0.131,0.161,0.207,0.19,0.126,0.224,0.21,0.125,0.191,0.122,0.201
"6",0.073,0.055,0.093,0.072,0.065,0.091,0.076,0.064,0.075,0.081,0.049,0.102,0.075,0.066,0.053,0.067,0.078,0.069
"7",0.043,0.054,0.032,0.032,0.038,0.047,0.086,0.041,0.031,0.067,0.06,0.012,0.04,0.005,0.056,0.042,0.048,0.04
"8",0.035,0.039,0.032,0.005,0.046,0.041,0.064,0.023,0.026,0.065,0.033,0.034,0.044,0.029,0.05,0.028,0.045,0.026
"9-Pésimo",0.177,0.173,0.18,0.164,0.23,0.139,0.074,0.17,0.169,0.197,0.156,0.187,0.16,0.196,0.13,0.18,0.158,0.193
"No sabe",0.061,0.044,0.08,0.049,0.064,0.061,0.082,0.07,0.066,0.043,0.037,0.074,0.039,0.113,0.047,0.061,0.073,0.051
