"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.473,0.378,0.378,0.331
"P05","Bastante",0.318,0.339,0.375,0.352
"P05","Poco",0.166,0.231,0.196,0.218
"P05","Nada",0.029,0.043,0.05,0.079
"P05","No sabe",0.014,0.009,0.001,0.02
"P06","Siempre",0.282,0.236,0.292,0.241
"P06","Casi siempre",0.424,0.409,0.426,0.418
"P06","Casi nunca",0.233,0.257,0.216,0.252
"P06","Nunca, pero esta es una excepción",0.061,0.098,0.066,0.089
"P08","Unión por la Patria",0.698,0.081,0.117,0.072
"P08","Juntos por el Cambio",0.157,0.395,0.623,0.608
"P08","Liberales",0.024,0.428,0.068,0.042
"P08","Izquierda",0.03,0.011,0.051,0.023
"P08","Otro",0.025,0.035,0.066,0.071
"P08","No sabe",0.066,0.05,0.075,0.184
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.61,0.017,0.056,0.046
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.189,0.012,0.047,0.036
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.37,0.471,0.408
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.048,0.071,0.207,0.229
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.029,0.505,0.056,0.036
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.002,0.036,0.033
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.016,0.007,0.052,0.06
"P09","Otros",0.019,0.008,0.035,0.049
"P09","En blanco",0.006,0.002,0.031,0.007
"P09","No sabe",0.017,0.006,0.009,0.096
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.522,0.05,0.085,0.066
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.211,0.05,0.058,0.035
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.382,0.355,0.388
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.07,0.127,0.246,0.184
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.341,0.06,0.058
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.01,0.043,0.033
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.016,0.009,0.037,0.054
"P18","Otros",0.024,0.011,0.031,0.048
"P18","En blanco",0.009,0.01,0.062,0.016
"P18","No sabe",0.016,0.01,0.023,0.118
"P25","Totalmente seguro",0.714,0.75,0.696,0.579
"P25","Bastante seguro",0.156,0.119,0.122,0.146
"P25","Algo seguro",0.081,0.091,0.095,0.094
"P25","Para nada seguro",0.049,0.04,0.087,0.181
"P26","Tiene Decidido que va a ir a votar",0.92,0.919,0.894,0.849
"P26","Tiene dudas sobre si va a ir a votar",0.056,0.055,0.057,0.102
"P26","Tiene Decidido que no va a ir a votar",0.024,0.026,0.049,0.049
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.789,0.031,0.065,0.061
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.414,0.595,0.524
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.02,0.517,0.06,0.045
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.005,0.068,0.022
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.022,0.008,0.058,0.094
"P27","Otros",0.04,0.012,0.071,0.091
"P27","En blanco",0.009,0.005,0.06,0.008
"P27","No sabe",0.017,0.008,0.023,0.155
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.791,0.023,0.072,0.06
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.073,0.291,0.535,0.486
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.025,0.621,0.061,0.048
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.033,0.007,0.063,0.021
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.012,0.06,0.08
"P28","Otros",0.031,0.018,0.089,0.112
"P28","En blanco",0.01,0.013,0.077,0.009
"P28","No sabe",0.019,0.015,0.043,0.184
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.867,0.047,0.092,0.066
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.744,0.604,0.542
"P33","En blanco",0.045,0.143,0.268,0.045
"P33","No sabe",0.022,0.066,0.036,0.347
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.422,0.599,0.526
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.541,0.078,0.04
"P34","En blanco",0.553,0.019,0.292,0.055
"P34","No sabe",0.177,0.018,0.031,0.379
