"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.483,0.359,0.377,0.326,0.248,0.157
"P05","Bastante",0.318,0.368,0.281,0.318,0.315,0.261
"P05","Poco",0.16,0.226,0.274,0.22,0.302,0.343
"P05","Nada",0.029,0.038,0.054,0.113,0.1,0.184
"P05","No sabe",0.01,0.009,0.014,0.023,0.035,0.055
"P06","Siempre",0.285,0.251,0.23,0.246,0.214,0.114
"P06","Casi siempre",0.411,0.41,0.345,0.305,0.363,0.272
"P06","Casi nunca",0.23,0.265,0.292,0.295,0.259,0.379
"P06","Nunca, pero esta es una excepción",0.074,0.074,0.133,0.154,0.164,0.235
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.613,0.086,0.015,0.087,0.123,0.135
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.193,0.025,0.019,0.148,0.064,0.051
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.568,0.074,0.051,0.112,0.068
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.035,0.223,0.02,0.064,0.068,0.07
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.042,0.844,0.139,0.176,0.117
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.005,0.004,0.351,0.029,0.029
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.016,0.005,0.057,0.147,0.046
"P09","Otros",0.005,0.014,0.005,0.062,0.206,0.08
"P09","En blanco",0.004,0.005,0.009,0.033,0.044,0.118
"P09","No sabe",0.01,0.016,0.005,0.008,0.031,0.286
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.519,0.095,0.039,0.239,0.178,0.18
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.201,0.055,0.055,0.136,0.062,0.038
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.075,0.4,0.396,0.064,0.127,0.089
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.07,0.231,0.054,0.071,0.079,0.07
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.064,0.135,0.384,0.081,0.163,0.113
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.01,0.01,0.201,0.061,0.028
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.016,0.009,0.067,0.08,0.039
"P18","Otros",0.015,0.019,0.013,0.048,0.175,0.071
"P18","En blanco",0.01,0.016,0.02,0.082,0.041,0.097
"P18","No sabe",0.012,0.023,0.02,0.011,0.034,0.275
"P25","Totalmente seguro",0.766,0.699,0.75,0.565,0.488,0.276
"P25","Bastante seguro",0.133,0.16,0.112,0.159,0.113,0.098
"P25","Algo seguro",0.073,0.088,0.099,0.107,0.215,0.152
"P25","Para nada seguro",0.028,0.053,0.039,0.169,0.184,0.474
"P26","Tiene Decidido que va a ir a votar",0.936,0.916,0.907,0.794,0.747,0.747
"P26","Tiene dudas sobre si va a ir a votar",0.048,0.06,0.058,0.104,0.129,0.156
"P26","Tiene Decidido que no va a ir a votar",0.016,0.024,0.035,0.102,0.124,0.097
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.783,0.111,0.021,0.17,0.171,0.232
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.09,0.697,0.102,0.058,0.137,0.106
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.049,0.054,0.832,0.086,0.186,0.146
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.012,0.007,0.471,0.09,0.021
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.012,0.029,0.018,0.072,0.163,0.086
"P27","Otros",0.025,0.053,0.011,0.085,0.186,0.085
"P27","En blanco",0.006,0.016,0.005,0.025,0.035,0.079
"P27","No sabe",0.013,0.028,0.004,0.033,0.032,0.245
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.786,0.106,0.028,0.245,0.147,0.225
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.084,0.589,0.078,0.077,0.105,0.119
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.141,0.821,0.073,0.213,0.179
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.012,0.018,0.435,0.062,0.014
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.012,0.026,0.023,0.066,0.19,0.064
"P28","Otros",0.023,0.057,0.013,0.057,0.219,0.089
"P28","En blanco",0.008,0.026,0.007,0.018,0.034,0.079
"P28","No sabe",0.013,0.043,0.012,0.029,0.03,0.231
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.806,0.139,0.047,0.367,0.262,0.29
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.752,0.603,0.127,0.228,0.203
"P33","En blanco",0.044,0.059,0.247,0.329,0.333,0.176
"P33","No sabe",0.029,0.05,0.103,0.177,0.177,0.331
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.185,0.738,0.125,0.132,0.28,0.184
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.095,0.81,0.135,0.216,0.213
"P34","En blanco",0.55,0.091,0.048,0.559,0.302,0.225
"P34","No sabe",0.17,0.076,0.017,0.174,0.202,0.378
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.816,0.129,0.065,0.388,0.252,0.259
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.11,0.686,0.373,0.105,0.215,0.198
"P35","En blanco",0.055,0.109,0.422,0.344,0.31,0.175
"P35","No sabe",0.019,0.076,0.14,0.163,0.223,0.368
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.206,0.605,0.061,0.196,0.223,0.179
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.111,0.203,0.877,0.147,0.222,0.211
"P36","En blanco",0.523,0.113,0.037,0.533,0.32,0.222
"P36","No sabe",0.16,0.079,0.025,0.124,0.235,0.388
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.815,0.15,0.049,0.419,0.22,0.309
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.38,0.86,0.149,0.305,0.236
"P37","En blanco",0.061,0.268,0.061,0.319,0.259,0.157
"P37","No sabe",0.029,0.202,0.03,0.113,0.216,0.298
"P40","Lo votaría",0.776,0.117,0.048,0.211,0.126,0.182
"P40","Puede que lo vote",0.076,0.084,0.124,0.293,0.258,0.176
"P40","Nunca lo votaría",0.132,0.771,0.801,0.424,0.525,0.373
"P40","No sabe",0.016,0.028,0.027,0.072,0.091,0.269
"P41","Lo votaría",0.478,0.071,0.04,0.322,0.171,0.044
"P41","Puede que lo vote",0.228,0.043,0.046,0.183,0.16,0.12
"P41","Nunca lo votaría",0.248,0.859,0.889,0.402,0.593,0.547
"P41","No sabe",0.046,0.027,0.025,0.093,0.076,0.289
"P42","Lo votaría",0.132,0.674,0.265,0.052,0.175,0.106
"P42","Puede que lo vote",0.066,0.106,0.384,0.066,0.201,0.19
"P42","Nunca lo votaría",0.771,0.193,0.323,0.837,0.57,0.461
"P42","No sabe",0.031,0.027,0.028,0.045,0.054,0.243
"P43","Lo votaría",0.089,0.525,0.106,0.065,0.154,0.116
"P43","Puede que lo vote",0.092,0.278,0.274,0.128,0.212,0.174
"P43","Nunca lo votaría",0.788,0.173,0.593,0.744,0.593,0.455
"P43","No sabe",0.031,0.024,0.027,0.063,0.041,0.255
"P44","Lo votaría",0.075,0.173,0.809,0.071,0.164,0.134
"P44","Puede que lo vote",0.07,0.311,0.079,0.069,0.179,0.161
"P44","Nunca lo votaría",0.833,0.478,0.107,0.802,0.593,0.509
"P44","No sabe",0.022,0.038,0.005,0.058,0.064,0.196
"P45","Lo votaría",0.098,0.03,0.101,0.57,0.071,0.049
"P45","Puede que lo vote",0.309,0.087,0.053,0.122,0.177,0.146
"P45","Nunca lo votaría",0.541,0.843,0.828,0.249,0.658,0.579
"P45","No sabe",0.052,0.04,0.018,0.059,0.094,0.226
"P46","Lo votaría",0.049,0.053,0.047,0.115,0.243,0.104
"P46","Puede que lo vote",0.182,0.186,0.127,0.227,0.15,0.146
"P46","Nunca lo votaría",0.708,0.714,0.799,0.571,0.501,0.518
"P46","No sabe",0.061,0.047,0.027,0.087,0.106,0.232
"P57","Si",0.545,0.527,0.506,0.463,0.502,0.476
"P57","No",0.455,0.473,0.494,0.537,0.498,0.524
