"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.369,0.389,0.49,0.362
"P05","Bastante",0.383,0.337,0.305,0.313
"P05","Poco",0.214,0.214,0.164,0.214
"P05","Nada",0.024,0.052,0.033,0.095
"P05","No sabe",0.01,0.008,0.008,0.016
"P06","Siempre",0.273,0.252,0.254,0.284
"P06","Casi siempre",0.426,0.405,0.435,0.395
"P06","Casi nunca",0.238,0.23,0.247,0.234
"P06","Nunca, pero esta es una excepción",0.063,0.113,0.064,0.087
"P08","Unión por la Patria",0.143,0.121,0.657,0.413
"P08","Juntos por el Cambio",0.726,0.154,0.138,0.233
"P08","Liberales",0.057,0.606,0.033,0.024
"P08","Izquierda",0.009,0.014,0.056,0.035
"P08","Otro",0.03,0.038,0.05,0.068
"P08","No sabe",0.035,0.067,0.066,0.227
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.088,0.069,0.523,0.421
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.026,0.027,0.233,0.081
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.626,0.099,0.031,0.057
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.166,0.044,0.049,0.129
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.722,0.028,0.035
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.002,0.035,0.043
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.01,0.037,0.049
"P09","Otros",0.011,0.007,0.029,0.068
"P09","En blanco",0.002,0.006,0.017,0.019
"P09","No sabe",0.005,0.014,0.018,0.098
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.094,0.077,0.466,0.374
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.049,0.068,0.216,0.127
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.436,0.319,0.047,0.075
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.231,0.071,0.07,0.098
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.138,0.385,0.036,0.047
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.015,0.045,0.035
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.015,0.019,0.024,0.048
"P18","Otros",0.009,0.013,0.039,0.061
"P18","En blanco",0.008,0.012,0.037,0.014
"P18","No sabe",0.01,0.021,0.02,0.121
"P25","Totalmente seguro",0.721,0.742,0.724,0.561
"P25","Bastante seguro",0.147,0.112,0.143,0.13
"P25","Algo seguro",0.085,0.101,0.075,0.102
"P25","Para nada seguro",0.047,0.045,0.058,0.207
"P26","Tiene Decidido que va a ir a votar",0.919,0.908,0.906,0.854
"P26","Tiene dudas sobre si va a ir a votar",0.056,0.065,0.052,0.1
"P26","Tiene Decidido que no va a ir a votar",0.025,0.027,0.042,0.046
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.108,0.083,0.716,0.507
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.743,0.126,0.034,0.084
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.052,0.726,0.036,0.03
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.011,0.07,0.028
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.011,0.045,0.083
"P27","Otros",0.033,0.018,0.055,0.114
"P27","En blanco",0.011,0.005,0.031,0.012
"P27","No sabe",0.017,0.02,0.013,0.142
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.105,0.079,0.714,0.502
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.572,0.119,0.06,0.141
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.148,0.736,0.038,0.035
