"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.449,0.294,0.253,0.178
"P05","Bastante",0.321,0.436,0.296,0.258
"P05","Poco",0.179,0.243,0.353,0.345
"P05","Nada",0.04,0.023,0.072,0.171
"P05","No sabe",0.011,0.004,0.026,0.048
"P06","Siempre",0.29,0.178,0.144,0.159
"P06","Casi siempre",0.382,0.484,0.447,0.299
"P06","Casi nunca",0.237,0.268,0.321,0.337
"P06","Nunca, pero esta es una excepción",0.091,0.07,0.088,0.205
"P08","Unión por la Patria",0.332,0.286,0.211,0.083
"P08","Juntos por el Cambio",0.37,0.418,0.314,0.192
"P08","Liberales",0.19,0.141,0.168,0.067
"P08","Izquierda",0.025,0.034,0.031,0.05
"P08","Otro",0.039,0.045,0.115,0.1
"P08","No sabe",0.044,0.076,0.161,0.508
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.259,0.247,0.176,0.122
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.08,0.111,0.082,0.044
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.254,0.225,0.12
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.089,0.147,0.154,0.11
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.231,0.161,0.188,0.108
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.019,0.026,0.039
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.022,0.024,0.054,0.032
"P09","Otros",0.018,0.014,0.051,0.091
"P09","En blanco",0.008,0.008,0.005,0.082
"P09","No sabe",0.006,0.015,0.039,0.252
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.243,0.244,0.204,0.141
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.1,0.152,0.079,0.03
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.272,0.224,0.267,0.134
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.122,0.16,0.128,0.107
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.173,0.113,0.171,0.08
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.024,0.038,0.045
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.033,0.028,0.02
"P18","Otros",0.021,0.02,0.051,0.088
"P18","En blanco",0.02,0.009,0.01,0.076
"P18","No sabe",0.013,0.021,0.024,0.279
"P26","Tiene Decidido que va a ir a votar",0.967,0.789,0.683,0.708
"P26","Tiene dudas sobre si va a ir a votar",0.022,0.196,0.13,0.181
"P26","Tiene Decidido que no va a ir a votar",0.011,0.015,0.187,0.111
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.324,0.351,0.275,0.16
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.331,0.324,0.295,0.202
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.225,0.164,0.199,0.067
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.035,0.045,0.055
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.029,0.042,0.058,0.056
"P27","Otros",0.036,0.043,0.086,0.113
"P27","En blanco",0.014,0.012,0.009,0.073
"P27","No sabe",0.015,0.029,0.033,0.274
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.32,0.37,0.27,0.169
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.275,0.287,0.285,0.187
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.261,0.201,0.245,0.096
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.027,0.028,0.026
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.028,0.034,0.053,0.065
"P28","Otros",0.041,0.038,0.074,0.124
"P28","En blanco",0.019,0.017,0.02,0.071
"P28","No sabe",0.027,0.026,0.025,0.262
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.354,0.406,0.33,0.219
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.472,0.464,0.404,0.303
"P33","En blanco",0.114,0.067,0.16,0.152
"P33","No sabe",0.06,0.063,0.106,0.326
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.396,0.42,0.374,0.265
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.248,0.196,0.269,0.154
"P34","En blanco",0.258,0.265,0.215,0.211
"P34","No sabe",0.098,0.119,0.142,0.37
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.359,0.399,0.272,0.245
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.378,0.406,0.442,0.303
"P35","En blanco",0.184,0.106,0.147,0.134
"P35","No sabe",0.079,0.089,0.139,0.318
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.327,0.378,0.345,0.254
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.309,0.252,0.321,0.176
"P36","En blanco",0.257,0.253,0.217,0.225
"P36","No sabe",0.107,0.117,0.117,0.345
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.361,0.41,0.328,0.256
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.379,0.314,0.368,0.21
"P37","En blanco",0.158,0.143,0.172,0.205
"P37","No sabe",0.102,0.133,0.132,0.329
"P40","Lo votaría",0.329,0.364,0.245,0.136
"P40","Puede que lo vote",0.09,0.138,0.164,0.172
"P40","Nunca lo votaría",0.559,0.457,0.497,0.464
"P40","No sabe",0.022,0.041,0.094,0.228
"P41","Lo votaría",0.205,0.247,0.143,0.099
"P41","Puede que lo vote",0.112,0.117,0.125,0.109
"P41","Nunca lo votaría",0.649,0.595,0.591,0.601
"P41","No sabe",0.034,0.041,0.141,0.191
"P42","Lo votaría",0.384,0.358,0.293,0.211
"P42","Puede que lo vote",0.143,0.146,0.212,0.179
"P42","Nunca lo votaría",0.445,0.457,0.408,0.425
"P42","No sabe",0.028,0.039,0.087,0.185
"P43","Lo votaría",0.264,0.276,0.237,0.263
"P43","Puede que lo vote",0.185,0.263,0.322,0.19
"P43","Nunca lo votaría",0.523,0.419,0.357,0.37
"P43","No sabe",0.028,0.042,0.084,0.177
"P44","Lo votaría",0.273,0.202,0.218,0.162
"P44","Puede que lo vote",0.161,0.193,0.259,0.172
"P44","Nunca lo votaría",0.538,0.574,0.454,0.527
"P44","No sabe",0.028,0.031,0.069,0.139
"P45","Lo votaría",0.083,0.081,0.075,0.071
"P45","Puede que lo vote",0.152,0.195,0.166,0.128
"P45","Nunca lo votaría",0.726,0.686,0.643,0.62
"P45","No sabe",0.039,0.038,0.116,0.181
"P46","Lo votaría",0.056,0.064,0.098,0.095
"P46","Puede que lo vote",0.145,0.243,0.259,0.201
"P46","Nunca lo votaría",0.75,0.621,0.538,0.544
"P46","No sabe",0.049,0.072,0.105,0.16
"P57","Si",0.538,0.466,0.525,0.462
"P57","No",0.462,0.534,0.475,0.538
